id,name,text,trans
3005008030010,摩美々,…………,…………
3005008030020,摩美々,（……いつもはおさつ系のチップスって\nあんまり買わないケド……）,（……虽说番薯类的薯片，一直以来都没怎么买过……）
3005008030030,摩美々,……うまぁ,……好吃
3005008030040,摩美々,…………,…………
3005008030041,咲耶＆霧子,おはようございます,早上好
3005008030050,摩美々,……あ\nおはよー,……啊\n早上好——
3005008030060,咲耶,──おや,——哦呀
3005008030070,霧子,摩美々ちゃん……それ……,摩美美……那是……
3005008030080,摩美々,んー,嗯——
3005008030090,摩美々,せっかくだからねー\nさっきコンビニで買ってきた,毕竟机会难得——\n刚才在便利店买的
3005008030100,摩美々,ポテトチップスのおまけに私たちのクリアファイルが\nついてくるならお得かなぁってー,我们的透明文件夹作为买薯片的附赠\n还算挺划算吧——
3005008030110,摩美々,まぁ、ファイルの使いどころは\nよくわかんないケド,虽说也不知道能在哪用文件夹就是了
3005008030120,霧子,ふふっ……,呵呵……
3005008030130,摩美々,……？,……？
3005008030140,霧子,あのね……\nわたしも……,那个……\n我也……
3005008030150,霧子,それから……\n咲耶さんもなの……！,然后……\n咲耶也……！
3005008030160,咲耶,ああ\n私はファイルをコンプリートするために,是啊\n我为了集齐文件夹
3005008030170,咲耶,ポテトチップスを３袋買ってきたのだけれど……,买了三袋薯片就是了……
3005008030180,咲耶,まさか霧子も摩美々も、\n同じことを考えていたとはね,想不到雾子和摩美美也想着同样的事情呢
3005008030190,摩美々,や、私はひとつしか買ってないケド,不，我只买了一袋
3005008030200,摩美々,……てゆーか\nポテトチップス、大量になっちゃったねー,……话说，薯片一下子变多了呢——
3005008030210,霧子,……えっと……,……那个……
3005008030220,霧子,みんなで……\n食べれば……,大家一起……吃的话……
3005008030230,摩美々,……さすがに多いでしょー,……实在多了点吧——
3005008030240,結華,おはようございまーす\n──あら、結構揃ってた,早上好——\n——哎呀，人还不少嘛
3005008030250,結華,ていうか！\nやっぱみんな、考えることは同じかー,不如说！果然大家都想着同一件事吗——
3005008030260,摩美々,……ってことは,……也就是说
3005008030270,結華,うん、三峰も当然買ってきてるよね,嗯，三峰当然也买来了哦
3005008030280,霧子,ふふ……クリアファイルに……\nおまけでチップス……ついてくるもんね……,呵呵……透明文件夹……\n带着赠品薯片呢……
3005008030281,摩美々＆咲耶,……？,……？
3005008030290,摩美々,買うのはポテトチップスで、\nついてくるのは私たちのファイルの方でしょー,买的是薯片，附赠的是我们的文件夹才对吧——
3005008030300,結華,あっ\nえっと、そうではなく──！,啊\n那个，不是这样——！
3005008030310,咲耶,──クス、なるほど\n摩美々,——呵呵，原来如此\n摩美美
3005008030320,咲耶,今の言葉は、アンティーカのクリアファイルには\nそう表現したいほどの価値がある──,刚才的话是说\nL'Antica的透明文件夹有着足以喧宾夺主的价值——
3005008030330,咲耶,という意味の、霧子なりの言い回しさ,那是这种含义的，雾子风格的说法
3005008030340,摩美々,えー、何それー\n……ふふー,诶——什么嘛——\n……哼哼——
3005008030350,恋鐘,おはよ～！\nみんな、差し入ればい～！,早上好~！\n大家，给你们慰问品~！
3005008030360,摩美々,おつか──\n……あ,辛苦——\n……啊
3005008030370,結華,こ、こがたん……\nその、コンビニ袋はっ──！,恋、恋钟……\n那个，便利店的袋子是——！
3005008030380,恋鐘,ふっふ～ん！\nうちらが宣伝した、あのチップスたい！,哼~哼~！\n是我们宣传的，那个薯片！
3005008030390,恋鐘,こっちがおまけの\nば〜り最強なファイル！,这些是附赠的，最棒最强的文件夹！
3005008030400,恋鐘,売り切れ寸前やったけん\nみんな欲しかかな～って──,在卖光前拿下的\n想着大家会不会很想要——
3005008030401,一同,…………,…………
3005008030410,恋鐘,……ふぇ？,……呼欸？
3005008030420,摩美々,テーブルの上、見てみなよー,你瞧瞧桌子上吧——
3005008030430,恋鐘,ポテトチップスと……ファイル……！,薯片和……文件夹……！
3005008030440,恋鐘,……なして～～～！？,……怎么会~~~！？
3005008030450,咲耶,…………,…………
3005008030460,霧子,ふふ……,呵呵……
3005008030470,霧子,みんな……\n同じだね……,大家……\n一样呢……
3005008030471,一同,…………,…………
3005008030480,摩美々,……ファイルの方は\n何か使いどころを探すとしてー,……文件夹，就找找哪里能用得上——
3005008030490,摩美々,ポテトチップスの方は、せっかくだし──,至于薯片，机会难得——
3005008030500,結華,事務所のみんなへの差し入れ、ってことで！,就当做慰问品送给事务所的大家，就这么说定了！
info,produce_events/300500803.json,,
译者,巡礼,,
