id,name,text,trans
3023003020010,雛菜,なんだ～\nやっぱり告白じゃなかったのか～！,什么嘛～\n果然不是告白啊～！
3023003020020,雛菜,なんかつまんないね～,总觉得好无聊啊～
3023003020030,小糸,ひ、雛菜ちゃん……！,雏、雏菜……！
3023003020040,円香,…………,
3023003020050,雛菜,小糸ちゃんが慌てて走ってくるから\n期待しちゃったよ,小糸这么慌张跑过来\n我还期待了
3023003020060,雛菜,ね、透先輩もでしょ～？,呐，透前辈也是吧～
3023003020070,透,え？,诶？
3023003020080,小糸,だ、だって……！,因、因为……！
3023003020090,小糸,ああいうところ\n実際に見たことなかったし……,在那种地方\n又没实际见到过……
3023003020100,小糸,そうなのかなって、思っちゃって……！,就想着，会不会是那样呢……！
3023003020110,雛菜,へ～？,诶～？
3023003020140,小糸,でも考えてみればそうだよね……\n結構人いるところだったし,但是想一下的话也是呢……\n那边还挺多人在的
3023003020150,小糸,告白ならもっと\n人のいないところで、する……のかな？,告白的话\n会在更没什么人的地方，来……吧？
3023003020160,小糸,中庭とか……\n体育館裏とか……？,中庭啊……\n体育馆后面之类的……？
3023003020170,透,えー,诶——
3023003020180,透,詳しい\n小糸ちゃん,好清楚\n小糸
3023003020190,小糸,く、詳しくはないんだけど……！,没、没有很清楚啦……！
3023003020200,小糸,この前事務所に置いてあった漫画\nパラパラっと見てみたら,之前放在事务所里的漫画\n哗啦哗啦翻了几下
3023003020210,小糸,そんな感じのやつだったから……,看到的就是这种感觉的……
3023003020220,雛菜,ん～、でも\n今時わざわざ呼び出して告白する～？,嗯～，但是\n现在还会特地把人叫出来告白吗～？
3023003020230,小糸,ぴぇ……！\nし、しないの……！？,吔……！\n不、不会吗……！
3023003020240,雛菜,なんか、\nチェインとかじゃない～？,感觉，\n不是Chain什么的吗～？
3023003020250,雛菜,わかんないけど～,不清楚就是了～
3023003020260,透,あー,啊——
3023003020270,小糸,そ、そうなんだ……！,这、这样啊……！
3023003020280,小糸,でも、直接のほうが\n気持ちが伝わりそうだよね……？,但是，直接说出来\n心情会更好传达吧……？
3023003020290,小糸,緊張はするだろうけど……,虽然会紧张……
3023003020300,雛菜,あ～……\n両想いだったらいいかもね～,啊～……\n如果是两情相悦的话，说不定是挺好的呢～
3023003020310,小糸,あ……\nそ、そっか……,啊……\n对、对哦……
3023003020320,小糸,振られちゃう場合も\nあるんだもんね……,也有可能\n会被拒绝啊……
3023003020330,雛菜,うん～\n振られるほうも嫌かもだけど,嗯～\n被拒绝的那方或许会很讨厌这样
3023003020340,雛菜,振るほうもやだしね～？,拒绝的那方也不喜欢吧
3023003020350,雛菜,知らないけど～……,不知道就是了～
3023003020360,円香,………………,
3023003020370,円香,……盛り上がってるけど,……怎么还聊起来了
3023003020380,円香,委員会の連絡事項\n伝えに来てただけだから,委员会的联络事项\n只是来传达一声而已
3023003020390,雛菜,へ～？\nそうなの～？,诶～？\n这样吗～？
3023003020400,雛菜,じゃあほんとに\n大したことないやつだったんだ～……,那就是真的\n没什么大不了的事啊～
3023003020410,円香,…………,
3023003020420,円香,勝手に覗いて\n勝手にがっかりしないでくれる？,能别擅自偷窥\n又擅自失落起来吗？
3023003020430,雛菜,それなら雛菜、お昼ごはんを\n優先すればよかった～,早知道那样的话\n雏菜先去吃午饭就好了～
3023003020440,小糸,ひ、雛菜ちゃん……！,雏、雏菜……！
3023003020450,雛菜,今度から覗く時は\n透先輩みたいにパン持って行こ～……,下次偷看的时候\n像透前辈这样带着面包去好了～
3023003020460,透,ふふっ,呵呵
3023003020470,透,いいね,挺好的
3023003020480,雛菜,あは～,啊哈～
3023003020490,雛菜,メロンパンもいいけど～\nあんぱんと牛乳のほうが本格的だよね～？,蜜瓜包虽然也不错～\n但还是红豆包和牛奶才正统呢～
3023003020500,雛菜,張り込みみたいで！,像埋伏一样！
3023003020510,透,呼んでよ\n浅サン、とか,叫一下\n浅sir，这样
3023003020520,雛菜,じゃあ雛菜は雛サンかな～,那雏菜就是雏sir～
3023003020530,小糸,ふたりとも……！,你们两个……！
3023003020540,小糸,も、もう覗くのとか\nやめようよ……！,偷、偷窥这种事\n不要再干啦……！
3023003020550,雛菜,え～、小糸ちゃん\nいちばんしっかり覗いてたのに～？,诶～，小糸\n明明是偷看得最认真的那个～？
3023003020560,小糸,う……そ、それは……！,呜……那、那是……！
3023003020570,小糸,ご、ごめんね円香ちゃん……,抱、抱歉圆香……
3023003020580,円香,………………,
info,produce_events/302300302.json,,
译者,魚見,,
