id,name,text,trans
0000000000000,スマホの通知欄,新着メッセージ\n『クリスマスの準備について話をさせてほしいんだ』,新消息\n“方便聊聊圣诞节的安排吗”
4001080020010,ルカ,は……？,哈……？
0000000000000,プロデューサー,『クリスマスの準備について話をさせてほしいんだ\n今度の打ち合わせの前に時間をもらえないかな』,“今年圣诞节，事务所有特别安排\n我想下次开会之前和你商量一下”
0000000000000,プロデューサー,『ざっくり言うと、大人のメンバーから\n事務所のみんなにプレゼントを贈りたいと考えてる』,“简单来说，我们计划由事务所的成年人\n给其他成员分发礼物”
4001080020020,ルカ,誰がそんな──,谁会参加这种——
0000000000000,プロデューサー,『俺とはづきさん、\nそれから夏葉、千雪、美琴が参加してくれる』,“现在的人选有我、叶月、\n夏叶、千雪和美琴”
4001080020030,ルカ,……！,……！
4001080020040,ルカ,美琴が…………？,美琴她…………？
4001080020050,美琴,クリスマス……？,圣诞节……？
4001080020060,美琴,そっか、今日だったっけ,对哦，好像就是今天
4001080020070,美琴,──じゃあ\n練習、始めようか,——那就\n开始练习吧
4001080020080,ルカ,美琴が……\n……クリスマスの、プレゼント……──,美琴她……\n……也会准备，圣诞节礼物……——
4001080020090,ルカ,──……,——……
4001080020100,ルカ,……,……
0000000000000,スマホの通知欄,新着メッセージ\n『ルカちゃんはるきちゃん、差し入れって何がいい？』,新消息\n“路加，阳希，你们想要什么零食？”
4001080020110,ルカ,……,……
4001080020120,ルカ,……\nどうでもいいだろ、差し入れなんか……,……\n零食什么的，怎么样都好……
4001080020130,ルカ,……、っ……,…………
4001080020140,ルカ,……,……
4001080020150,ルカ,……勝手にすんだろ,……随便吧
4001080020160,円香,お疲れ様です,辛苦了
4001080020170,ルカ,……ああ,……嗯
4001080020171,円香＆ルカ,……,……
4001080020180,円香,……\nお茶を淹れるところだったんですが,……\n我正要泡茶
4001080020190,円香,飲まれます？,要来一点吗？
4001080020200,ルカ,……いや、いい,……没事，不用了
4001080020210,円香,そうですか,这样啊
4001080020220,円香,冷蔵庫にお菓子があるそうです,听说冰箱里放了点心
4001080020230,ルカ,……？,……？
4001080020240,円香,人数分あるので、\n必ず食べるか持って帰るかしてほしいとのことでした,因为是按人数买的\n所以最好是直接吃掉或者带走
4001080020250,円香,余ってしまうと処理に困るからと,如果有剩的就不好处理了
4001080020260,円香,はづきさんから伝言です,——叶月托我转达
4001080020270,ルカ,……,……
4001080020280,円香,……,……
4001080020290,ルカ,…………,…………
0000000000000,プロデューサー,ルカすまん待たせた！\n打ち合わせ、会議室で頼めるか？,抱歉路加让你久等了！\n现在方便来会议室吗？
4001080020300,ルカ,……,……
0000000000000,プロデューサー,来てたの円香だったんだな！\nお疲れ様,圆香也在啊！\n你辛苦了
4001080020310,円香,……お疲れ様です,……辛苦了
0000000000000,プロデューサー,レッスンまでの時間調整か？\n俺は打ち合わせに入るんだけど、ゆっくりしてってくれ,距离去上课还有段时间吧？\n我有事要跟路加说，你先好好歇会儿吧
0000000000000,プロデューサー,会議室の方にいるから,我就在会议室
4001080020320,円香,……,……
0000000000000,プロデューサー,いやー……\n今日、円香は来る予定じゃなかったから焦ったよ,哎呀……\n没想到今天圆香也在啊，一时慌了下神
0000000000000,プロデューサー,クリスマスの件、聞かれるわけにはいかないしな\nはは……,圣诞节的安排，可不能被她听到啊\n哈哈……
4001080020330,ルカ,……,
4001080020340,ルカ,……本題入れよ,……有话快说
0000000000000,プロデューサー,すまん！\nじゃあ改めて,抱歉！\n那回归正题
0000000000000,プロデューサー,この間伝えた通り、大人のメンバーから\n事務所のみんなにプレゼントを贈りたいと考えてる,像我之前告诉你的，我们计划由事务所的成年人\n给其他成员分发礼物
0000000000000,プロデューサー,本当は俺とはづきさんで\n全員分のプレゼントを用意するつもりだったんだけど,本来是打算只有我跟叶月\n来准备送给所有人的礼物的
0000000000000,プロデューサー,うっかり千雪と美琴に話を聞かれちゃってな……！,但是商量的时候不小心让千雪和美琴她们听见了……！
0000000000000,プロデューサー,サプライズ失敗になるところだったのを、\n手伝いを申し出てもらって今の形に──っていう経緯だ,所以给她们的惊喜就泡汤了嘛\n可没想到她们竟然主动提出要帮忙，所以才——
4001080020350,ルカ,……,……
0000000000000,プロデューサー,もともとは俺のミスだから──\nそれにルカも巻き込む形になっちゃって申し訳ないんだけど,这本来就是我的失误——\n还把路加你也卷进来，真是不好意思
0000000000000,プロデューサー,もしよかったら、\nルカには４個プレゼントを用意してもらいたい,但如果可以的话\n希望路加也能准备四份礼物
0000000000000,プロデューサー,最終的には誰が用意したプレゼントか\nわからないようにして渡す予定だから,我们商量好了\n不公布礼物是来自于谁
0000000000000,プロデューサー,気負わず選んでもらえればいいんだけど──……,所以路加选的时候也不用有压力——……
4001080020360,ルカ,……,……
4001080020370,ルカ,（……何かのついでに買えばいい）,（……买东西的时候顺手带几件就行了吧）
4001080020380,ルカ,（全部同じものだって、誰も文句は────）,（反正哪怕送的东西都一样，也不会有人抱怨————）
4001080020390,ルカ,──アイツらなら、何にする？,——她们会选什么呢？
4001080020400,ルカ,（関係ねぇだろ、テキトーでいい）,（无所谓了，随便选选吧）
4001080020410,ルカ,（──ああ、でも）,（——呃，不过）
4001080020420,ルカ,（誰かにプレゼントなんていつぶりだろう）,（我有多久没给别人送过礼物了）
0000000000000,off,メリークリスマス,圣诞快乐
0000000000000,off,ねぇ\nプレゼント、持ってきたんだ────,嘿\n我带了圣诞礼物来哦————
4001080020430,ルカ,（──美琴に渡したこと、あったんだっけ？）,（——我有送过美琴，什么礼物吗？）
0000000000000,プロデューサー,──予算はさ,——预算的话
4001080020440,ルカ,……！,……！
0000000000000,プロデューサー,１個3000円以内で頼むよ\n経費で落とすから領収書ももらってきてほしい,麻烦控制在1个礼物3000日元以内\n费用事务所可以报销，所以最好还是开个发票
4001080020450,ルカ,……,……
0000000000000,プロデューサー,受けてくれてありがとうな！,你能答应真是帮大忙了！
4001080020460,ルカ,チッ……,啧……
select,,いいクリスマスに\nなるといいんだけど,希望大家能度过一个\n快乐的圣诞节
4001080020470,ルカ,知るか……,谁管你啊……
0000000000000,プロデューサー,はは、うん──,哈哈，嗯——
0000000000000,プロデューサー,じゃあ、ここからは\nもともと打ち合わせするはずだった分な──,那我们就回到\n本来的会议内容——
0000000000000,プロデューサー,──じゃあ、明日もよろしく！,——好，那明天就拜托你了！
4001080020480,ルカ,……,……
4001080020481,智代子＆愛依,お疲れ様でーす！,辛苦啦
4001080020490,智代子,！\nルカさんお疲れ様です！,！\n路加小姐辛苦了！
4001080020500,愛依,お疲れ様でーす！,辛苦啦！
4001080020510,ルカ,──……,——……
4001080020520,ルカ,……,……
info,game_event_communications/400108002.json,,
译者,,,
