id,name,text,trans
0000000000000,司会,本日はご足労いただき\n誠にありがとうございます,衷心感谢\n各位今天专程前来
0000000000000,司会,皆様には歴史的に重要な施設であるこの場所で\nステージや体験を楽しんでいただきながら,这里是个富有历史意义的地方\n希望大家在享受舞台的同时
0000000000000,司会,知見を深めてもらえたら幸いです,也能加深对这里的见解
0000000000000,司会,それでは\nこれより開会式をはじめます────,那么\n接下来请看开幕仪式────
4001084070010,小糸,始まったね……！,开始了……！
4001084070020,雛菜,うん～,嗯～
4001084070030,透,ちけん、って？,见解，是什么？
4001084070040,円香,知識を深めてもらいたいとか\nそういう感じでしょ,就是希望让大家增长见识\n差不多这个意思
4001084070050,透,あー,啊——
4001084070060,雛菜,施設とステージ、ちゃんと混ざってる～,设施和舞台，融合得毫无违和感～
4001084070070,円香,当然\nプロが考えたんだから,当然\n毕竟是专业人士设计的
4001084070080,雛菜,それだけじゃなくて～,而且还不光融合得好——
4001084070090,雛菜,鏡が重なって、光がすっごくきらきらしてて\nその中に雛菜たちのステージがあって,镜面交叠，光线反射，闪闪发亮\n而光线聚焦在雏菜我们的舞台——
4001084070100,雛菜,あは～\nすごくきれいだった～♡,啊哈哈～\n真的好漂亮呀～♡
4001084070110,小糸,う、うん……！\n本当に、万華鏡みたいだったね……！,嗯、嗯……！\n简直就像万花筒一样……！
4001084070120,雛菜,『歴史とニュージェネレーション』……だっけ～？\n確かにちょっと未来っぽいかも～,是叫『历史与新世代』对吧～？\n确实有种未来的感觉呢～
4001084070130,小糸,……,……
4001084070140,円香,……緊張してる？,……紧张吗？
4001084070150,小糸,ぴゃ……！,咿……！
4001084070160,小糸,……ちょ、ちょっとだけだよ……！,……只、只有一点点啦……！
4001084070170,小糸,ちゃんと、成功させたいなって……！,希、希望别出什么差错……！
4001084070180,円香,……大丈夫\nなるようになるから,……别担心\n肯定会顺利的
4001084070190,円香,リハーサルも特に問題なかったし\n覚えたことをそのままやればいいだけ,彩排也没出什么问题\n只要按练习时的来就好
4001084070200,小糸,う、うん……！,嗯、嗯……！
0000000000000,司会,続いては、砲術隊のみなさんによる演武です\nステージ上に、合戦の様子が今、蘇ります────,接下来是由炮术队带来的武艺表演。\n舞台将重现古战场的景象────
4001084070210,透,おー,噢噢——
4001084070220,透,見える、ここから,好清楚，看得
4001084070221,透＆小糸＆雛菜,おー,噢噢——
4001084070230,円香,からの、うちらってわけね,下一个，就轮到我们了
4001084070240,透,ふふっ、やば,呵呵，好快
0000000000000,プロデューサー,────みんな,────各位
0000000000000,プロデューサー,客席の様子を見てきたけど\nみんなのファンがかなり来てくれたみたいだ,我刚才去看了一下观众席\n有不少粉丝们都来看了
0000000000000,プロデューサー,役場の人も喜んでたよ,镇委会的人也很高兴
4001084070250,円香,何よりです,那就好
0000000000000,プロデューサー,地元の方も結構来てくださってるみたいだから\nこのままライブを見てもらって,此外还有当地的居民\n他们也很期待你们的演出
0000000000000,プロデューサー,みんなの魅力を知ってもらえたらいいな,去让他们见识下\n你们的魅力吧
4001084070260,小糸,……,……
0000000000000,司会,────続きまして\n町長より、開催の挨拶を────,────接下来\n由镇长进行开幕致辞────
4001084070270,雛菜,甲冑着て歩いてる～,穿着盔甲在走路呢～
4001084070280,透,強そう、めっちゃ,超强，看着
0000000000000,町長,えー、この地に伝わる歴史や文化を、みなさんのような\n若い世代に知っていただきたく────……,希望能将……这片土地上传承的历史与文化\n传递给你们这代年轻人────……
4001084070290,小糸,……,……
4001084070300,小糸,……ほ、本当にわたしたち\nこのままパフォーマンスして、大丈夫……かな……,……真、真的没问题吗\n接着就到我们上台表演了……
4001084070310,円香,……,……
4001084070320,雛菜,大丈夫だから頼んだんでしょ～,有问题就不会邀请咱们来啦～
4001084070330,雛菜,まぁ、ちょっと浮いてるけどね～,嘛，虽然是有点紧张啦～
4001084070340,透,やる？\nうちらも,来一个不？\n咱们也
4001084070350,透,演武とか,武术表演
4001084070360,雛菜,あは～,啊哈哈～
0000000000000,プロデューサー,えっと……,那个……
0000000000000,プロデューサー,みんなは、ちゃんと望まれて……\nノクチルが必要だから,大家都很期待你们……\n期待Noctchill
0000000000000,プロデューサー,呼んでもらって、ここにいる\n……大丈夫だ,所以才会邀请各位\n……所以没问题的
0000000000000,プロデューサー,だから……,之后只要……
select,,いつも通りにいこう,一如既往就可以了
4001084070370,透,うん,嗯
4001084070380,透,やろ、いつも通り,了解，那就一如既往
4001084070390,円香,ん,嗯
4001084070400,小糸,……,……
0000000000000,司会,────それではお待たせいたしました！\n人気アイドル、ノクチルのみなさんです！,────让大家久等了！\n欢迎超人气偶像团体，Noctchill登场！
4001084070410,透,行こ,走吧
4001084070420,小糸,うん……！,嗯……！
4001084070430,雛菜,やは～\nきらきらステージ～！,呀哈～\n舞台闪闪发光的～！
4001084070440,透,……あ,……啊
0000000000000,プロデューサー,？\nどうした？,？\n怎么了？
