id,name,text,trans
4001026020010,小糸,てってん、てててん\nてーてーててん……っ,哒哒，哒哒哒\n哒——哒——哒哒……
4001026020020,円香,──てててん、のとこ\nこう,——哒哒哒，的部分\n要这样
4001026020030,小糸,ぴぇ……！　ち、違ってた……？\nえっと────,噫……！ 跳，跳错了吗……？\n所以————
4001026020040,円香,大丈夫\nほら、せーの,没事\n来，预备
4001026020041,円香＆小糸,てってん、てててん,哒哒，哒哒哒
4001026020050,円香,──そう。いい感じ,——对，感觉不错
4001026020060,透,ふぁ……,呵……
4001026020070,円香,……浅倉は\n大丈夫なの,……浅仓\n没问题吗
4001026020080,透,──え、うん\nラス１だったけど、ゲット,——诶，嗯\n虽然是最后一个，不过买到了
4001026020090,小糸,……？,
4001026020100,円香,……おにぎりのことじゃなくて\n今日、振りのテストでしょ,……我不是问饭团\n今天，要测试舞步吧
4001026020110,透,あー,啊——
4001026020120,透,うん。大丈夫,嗯。没问题
4001026020130,円香,……,
4001026020140,小糸,それ食べ終わったら、一緒にやる……？,饭团吃完之后，要一起来跳吗……？
4001026020150,透,いいの？\nじゃあ３秒。待って,好吗？\n那3秒。稍等
4001026020160,小糸,さ、３秒じゃ無理だよ……！,3，3秒吃不完啦……！
4001026020170,透,いけるいけ────,可以可————
4001026020180,雛菜,──あ、いた～～～！,——啊，在这～～～！
4001026020190,雛菜,小糸ちゃん、\nプロデューサーが、来てって～！,小糸，\n制作人叫你过去～！
4001026020200,小糸,え、あ、うん……！\n──と、透ちゃんごめんね……！,诶，啊，嗯……！\n——小，小透对不起……！
4001026020210,透,んー\nいってらっはい,嗯——\n一入顺风
4001026020220,小糸,ゆっくり食べてて……！,慢点吃……！
4001026020230,雛菜,ん～、もしかしてダンスの練習してた～？\n雛菜も透先輩とやりたい～～～,嗯～，难道在练习跳舞吗～？\n雏菜也想和透学姐一起练～～～
4001026020240,透,難しいよ,很难哦
4001026020250,透,てってん、てててん\nてーてーててん……,哒哒，哒哒哒\n哒——哒——哒哒……
4001026020260,小糸,────っ,————
4001026020270,小糸,……き、綺麗だなぁ…………,……真，真漂亮…………
4001026020280,小糸,透ちゃん……\nやっぱりすごいなー…………,小透……\n果然很厉害啊——…………
4001026020290,小糸,あ、あれ、円香ちゃん……！\n練習いいの？,啊，欸，圆香……！\n不练了吗？
4001026020300,円香,うん\nふたり、遊び始めちゃったし,嗯\n她们两个开始玩起来了
4001026020310,小糸,そっか……\n円香ちゃんも踊れてるもんね,是吗……\n圆香也会跳呢
4001026020320,円香,……\n小糸も踊れたでしょ,\n小糸也做到了吧
4001026020330,小糸,え、えへへ……\n当然だよ、このくらい……！,诶，诶嘿嘿……\n这点小事，当然可以……！
4001026020340,小糸,初めてのお仕事、決まっちゃったんだから\nちゃんとやらなきゃ……！,因为第一份工作已经决定好了\n不好好完成可不行……！
4001026020350,円香,……そうだね,……是啊
4001026020360,円香,私の幼馴染がそちらに所属することになりまして\n騙されてないか、確かめに来たんです,因为我的儿时玩伴现在隶属于你们事务所\n所以我是来确定她有没有被骗
4001026020370,円香,偉い、小糸\n──飴あげる,小糸，好棒棒\n──给你糖
4001026020380,小糸,わ、いいの……！,哇，可以吗……！
4001026020390,小糸,今日はね、\nわたしも持ってきてるんだ！,今天啊，\n我也有带糖果！
4001026020400,小糸,はい、円香ちゃんにも飴！\nすーっとしないやつ……！,来，给圆香的糖果！\n这种不会酸……！
4001026020410,円香,……ありがとう,……谢谢你
4001026020420,雛菜,ね、透先輩\n生配信ってすごいのかな～？,对了，透学姐\n直播很厉害吗～？
4001026020430,透,あー\n初仕事のやつ？,啊——\n工作那个？
4001026020440,透,なんか、言ってたね\n有名な番組って,好像，有说过\n是有名的节目
4001026020450,雛菜,ん～,嗯～
4001026020460,雛菜,そしたら、その次の仕事って\nもっとすごくなるのかな～？,这样的话，下一份工作\n是不是会更厉害～？
4001026020470,透,ふふ\nどんなの,呵呵\n哪种
4001026020480,雛菜,なんだろ～……\nファッションショーとか～？,会是什么呢～……\n时装秀～？
4001026020490,透,あー\nパリ？,啊——\n巴黎？
4001026020500,雛菜,あは～！\nパリはすごいね～,啊哈～！\n巴黎很厉害呢～
4001026020510,透,遠いなー,很远啊——
4001026020520,雛菜,うん～\nここからどのくらいかかるんだろう～？,嗯～\n这里到巴黎要花多久时间呢～？
4001026020530,雛菜,でも、楽しそうだし\n行ってみたいよね～,不过，好像很有趣\n有点想去呢～
4001026020540,透,ふふっ,呵呵
4001026020550,透,うん,嗯
4001026020560,雛菜,あは～\n楽しいね～、透先輩,啊哈！\n透学姐，好快乐哦～
4001026020570,小糸,──ごはんまで……\n40分くらい……,——到饭点……\n还有40分钟……
4001026020580,円香,…………,
4001026020590,円香,ん……,嗯……
4001026020600,透,てってん、てててん\nてーてーててん……,哒哒，哒哒哒\n哒——哒——哒哒……
4001026020610,円香,────…………,
4001026020620,円香,てってん……\nてててん……,哒哒……\n哒哒哒……
4001026020640,小糸,……あと……３回くらい\nできるかな……,……差不多……还能练3次\n我做得到吗……
4001026020650,小糸,てってん、てててん……！,哒哒，哒哒哒……！
4001026020660,小糸,…………\nみんな、すごいな……,…………\n大家，都好厉害……
0000000000000,プロデューサー,──おぉ、お疲れ\n今日はオフじゃなかったか,——哦，辛苦了\n你今天没休息吗
4001026020670,円香,……聞きたいことがあるんですが,……我有些话想问你
4001026020680,円香,なぜ、あの仕事なんですか？,为什么，是那份工作？
0000000000000,プロデューサー,────ええと……生配信の件かな\nかなりいい話だと思うんだけど、心配か？,————你说的……是直播的工作吗\n我觉得是一份相当不错的工作，你很担心吗？
4001026020690,円香,そうですね\nあなたとは価値観が違うので,是呢\n因为我和你的价值观不同
0000000000000,プロデューサー,……アイドル番組じゃないけど、結構注目されてるんだ\nテレビ業界もアンテナを張ったりしてる,……虽然不是偶像节目，不过相当有人气\n也可以在电视业界拓展人脉
4001026020700,円香,それで？\n浅倉透がディレクターの目にとまった？,然后呢？\n浅仓透被节目导播看中了？
0000000000000,プロデューサー,……いや、みんな歌もダンスも仕上がってきてるし\nそろそろ具体的な目標が必要だと思ってな,……不，大家唱歌和跳舞都练习得差不多了\n我觉得差不多该有个具体的目标了
4001026020710,円香,……\nあの番組についてはもう調べました,\n我已经调查过那个节目了
4001026020720,円香,確かに視聴者数が売りの番組\n……それだけの番組,那个收看人数确实很多\n……但也仅此而已
0000000000000,プロデューサー,だからって、なかなか出られるものじゃない\n出演してもらうのは新人発掘の小さい枠だけど……,即使如此，这个节目也不是想上就上\n哪怕我们出演只是挖掘新人的一小环节……
0000000000000,プロデューサー,たくさんの視聴者を意識するのは、\nきっとすごく大事な経験になると思う,我觉得能够意识到众多观众这点，\n是非常宝贵的经验
4001026020730,円香,……,
0000000000000,プロデューサー,それに、透がどうとかってことも関係ない,而且，这和透怎么样没有关系
0000000000000,プロデューサー,４人みんなが自分たちのベストをぶつけて、\n見てくれた人たちの反応を、謙虚に受け止めてほしいんだ,我希望你们4个人能够发挥全力，\n然后，虚心接受观众们的反应
0000000000000,プロデューサー,それがいいものでも、悪いものでも,无论这些反应是好是坏
4001026020740,円香,──好きに言ってくれますね\n矢面に立つ、売り物はこっちなのに,——站着说话不腰疼\n要当众矢之的和商品的可是我们
0000000000000,プロデューサー,……売り物って────,……你说商品————
4001026020750,円香,どうせ５分。トークは台本あり\n視聴者の評価は……どうでもいいけど,反正就5分钟。对话也有剧本\n观众的评价……怎样都好
4001026020760,円香,でも──,不过——
4001026020770,円香,何かあったら、許しませんので,如果出了什么事的话，我不会原谅你的
0000000000000,プロデューサー,何か……って────円香,出事……是说————圆香
0000000000000,ダンストレーナー,──はい、そこまで,——好，到此为止
4001026020771,一同,…………,
0000000000000,ダンストレーナー,みなさん、かなり踊れるようになってきてます\n歌詞が飛んでしまうところ、次回までにクリアしてください,各位已经能够跳得相当不错了\n歌词跳过的部分，请到下次之前练好
4001026020772,一同,はい……,好的……
0000000000000,ダンストレーナー,それから、誰とは言いませんが息が上がってしまうメンバー\nとにかく持久力をつけましょうね,还有，我不会说是谁，但呼吸急促的成员\n总之请锻炼耐力
4001026020780,小糸,は、はい……！,好，好的……！
4001026020790,雛菜,へ～、小糸ちゃん\n誰って言ってないよ～？,嘿～小糸\n她可没说是谁哦～？
4001026020800,小糸,ぴぇ……！？,噫……！？
0000000000000,ダンストレーナー,市川さんもです\n上手なのに、もったいないわよ,市川小姐也是\n明明很优秀，这也太可惜了
4001026020810,雛菜,あは～\n雛菜だった～～～！,啊哈～\n原来是雏菜～～～！
4001026020820,円香,雛菜\n──気を付けます。ありがとうございました,雏菜\n——我们会注意的。多谢指点
4001026020821,透＆小糸＆雛菜,ありがとうございました,多谢指点
4001026020830,円香,──……っ\nはぁ…………,——……\n唉…………
4001026020840,雛菜,透先輩、全然息切れてない～！,透学姐，完全没在喘～！
4001026020850,小糸,透ちゃんも円香ちゃんもすごい……！\nど、どうやってるの？,小透和圆香都好厉害……！\n怎，怎么做到的……！
4001026020860,透,え、んー……,诶，嗯——……
0000000000000,ダンストレーナー,浅倉さんは省エネなの\nダメですよ、もっと情熱的に取り組むこと！,浅仓小姐太省电了\n这可不行，请更加热情地拼劲全力！
4001026020870,透,はーい\n──だって,好——\n——她这么说的
4001026020871,透＆小糸＆雛菜,あははっ……,啊哈哈……
4001026020880,円香,…………,
0000000000000,プロデューサー,おーい、みんな\nお疲れ,喂——，各位\n辛苦了
4001026020890,小糸,あ、ぷ、プロデューサーさん！\nお疲れ様です……！,啊，制，制作人先生——！\n辛苦了……！
