id,name,text,trans
0000000000000,プロデューサー,灯織に聞きたいことがあってさ,我有些事想问灯织
2002011110010,灯織,……？　はい\nなんでしょうか,……？嗯\n什么事？
0000000000000,プロデューサー,幽霊役について\n色々あったけど、結局詳しく聞かずにきたから,关于幽灵这个角色\n发生了挺多事情，最后也没能详细问你
0000000000000,プロデューサー,監督がめちゃくちゃ怖い時あったろ\nあの１時間強制休憩の日,导演那时候挺可怕的对吧\n强制休息一小时的那天
2002011110020,灯織,ああ……,啊……
2002011110030,灯織,どうして予告にしちゃうんだーって、なりましたよね\n本当にひどかったですし,为什么要用那部分做成预告\n确实挺过分的
0000000000000,プロデューサー,いや、俺はそう思ってないけど,不，我倒不这么想
2002011110040,灯織,ふふ……,呵呵……
0000000000000,プロデューサー,監督、答え合わせしなかったろ？,没有跟导演对答案吧？
0000000000000,プロデューサー,あの後の撮影、止まらなかったから\n灯織と監督の答えが合ってたんだと思うけど,那之后的拍摄没有停过\n我觉得灯织给出的答案，跟导演的是一样的
0000000000000,プロデューサー,俺も、灯織の答えが知りたいなと思って……\nずっと聞くタイミング逃しててさ,我也想知道灯织的答案……\n不过一直没机会问你
2002011110050,灯織,なるほど……,是这样啊……
2002011110060,灯織,……そうですね──,……嗯——
2002011110070,灯織,まずは、なぜ監督が理解と言ったのか、からでしょうか,首先，为什么导演要说“理解”，先从这里开始吧
0000000000000,プロデューサー,うん、そうだな,嗯，是啊
2002011110080,灯織,私、役のこと理解しなきゃって思っていたんです\nたぶん、それ自体は悪いことじゃないんだと思います,我觉得自己必须要理解角色\n大概，这本身并不是一件坏事
2002011110090,灯織,でも、それだけじゃダメだったんですよね\nだからあの時、監督は発破をかけてくださって……,但是，只是这样还不够呢\n所以那个时候，导演鼓励了我……
2002011110100,灯織,プロデューサーも、アドバイスをくれました,制作人也给了我建议
0000000000000,プロデューサー,……うん,……嗯
2002011110110,灯織,私はずっと、幽霊を人ではないものと思っていました\n人の理解の及ばない、人にはどうにもできない何か,我一直认为，幽灵不是人\n是人们无法理解的，对其什么也做不了的存在
2002011110120,灯織,今はわかります\n私、そこから間違えていたんです,现在明白了\n我从那里开始就搞错了
2002011110130,灯織,幽霊だから、自分とは違うものだから、と──\n勉強みたいに、調べただけで理解した気になっていました,想着因为是幽灵，因为跟自己不是同类——\n就像学习一样，只是调查过就觉得自己理解了
2002011110140,灯織,重ねて、彼女のこと、別の個……他人だからとも\n無意識に思っていたんですよね……,再三地，将她看作是他人\n无意中抱有这种想法了呢……
2002011110150,灯織,でも、本当はそうじゃなくて,不过，其实并不是这样的
2002011110160,灯織,俳優さんたちが普通にやっている『演じる』というのは、\nそういうことじゃなくて──あの子になること,演员们平时所做的“扮演”，\n并不是那样的——而是去成为所扮演的角色
2002011110170,灯織,理解の先……憑依が一番しっくりくるでしょうか\nこれが、監督の質問に対する答えです,想要去理解……让自己成为那个人是最合适的吧\n这就是，我对导演的提问的回答
0000000000000,プロデューサー,そうか……！,这样啊……！
2002011110180,灯織,はい\n合っていたかどうかは……SNSが答えだと思っています,嗯\n至于这是否正确……我觉得社交网站上的那些发言就是答案
2002011110190,灯織,でも、私があの子になれた理由……\nそれだけじゃありません,但是，我能成为这个角色的理由……\n不只是那样
0000000000000,プロデューサー,……ん？,……嗯？
2002011110200,灯織,幽霊じゃなくて一個人だと思えるようになった時、\n私はあの子に似ているなって思ったんです,不再是幽灵，而是开始把她当作一个人去看待的时候，\n我觉得自己跟她挺像的
2002011110210,灯織,ひとりになって、それが嫌で、怖くて\nでも、自分はそこから出られない,变得孤身一人，讨厌着，害怕着那样\n但是，自己却无法从那里走出去
2002011110220,灯織,だから、友達や迷い込んだ人を連れていこうとする,所以，打算带上朋友或是误入的人
2002011110230,灯織,一緒にいてほしい、ひとりにしないでほしい\nその一心で──,想要在一起，别丢下我一个人\n抱着这种想法——
2002011110240,灯織,やっていることは間違っているんですけど\nその気持ち、わかる気がして,虽然做的事情是错的\n但是能理解那种心情
0000000000000,プロデューサー,…………,
2002011110250,灯織,２８３に入って、真乃とめぐると一緒にいるようになって,进入283，开始跟真乃和巡在一起
2002011110260,灯織,プロデューサーに、\nプロデュースしてもらうようになって──,得到制作人的培育——
2002011110270,灯織,ずっとひとりでも大丈夫だったのに\n今は、どうして平気だったのかわからないんです,明明一直独自一人也没问题\n现在一想，不知道那时为什么会觉得没关系
2002011110280,灯織,あの子、きっと『未来の私』なんです\n私が行きつくかもしれない、未来の姿のひとつ,那个孩子，肯定就是“未来的我”\n是我可能到达的，未来的姿态之一
0000000000000,プロデューサー,そんなこと……,这种事情……
2002011110290,灯織,ないって、言い切れないですよね……？,“不可能”，没法这样断言是吧……？
0000000000000,プロデューサー,……,
2002011110300,灯織,ふふふっ\n……でも、大丈夫ですよ,呵呵\n……不过，没关系哦
2002011110310,灯織,きっと、そうなるかもしれない未来は、\nずっと存在すると思うんですけど,虽然我觉得一直存在着\n可能会变成那样的未来
2002011110320,灯織,あの子を通して経験したので\nあの子に、教わったので,但是我已经通过那孩子经历过了\n她教会了我
2002011110330,灯織,絶対、繰り返しません……！,所以绝对不会重演的……！
info,produce_events/200201111.json,,
译者,Rosineae,,
