id,name,text,trans
0000000000000,講師,なんで黛さんのデザインをみなさんに紹介したのか\nちゃんとわかってますか？,我把黛同学的展示给大家\n同学们知道为什么吗
0000000000000,講師,ここの襟、フリル、それからリボン\nひとつひとつに意味があり、ストーリーがあるでしょ,这里的衣襟、花边、缎带\n是不是每个要素都有意义，都有门道？
0000000000000,講師,一見突飛なように見えて、ちゃんと統一感は担保してる\n衣装デザインとして必然性があるということです,乍一看很异想天开，统一感却未损丝毫\n也就是说，这里面蕴藏着服装设计的必然性
0000000000000,講師,自分が何を伝えたいのか、自分自身をよく見ましょう\nそれがコンセプトというものです……わかりますか？,大家要好好自我审视，搞清楚自己想要表达什么\n所谓“概念”，其实就是如此……明白了吗？
1018005020010,冬優子,………………,………………
1018005020020,冬優子,あーあ、目立ちすぎないようにって\n気をつけてたのに…………,啊啊啊，亏我还小心翼翼\n尽量避免做出头鸟的…………
1018005020030,冬優子,これじゃ、ふゆ\nガリ勉みたいじゃない,这么一来\n岂不搞得像我冬优有多刻苦一样
1018005020040,冬優子,なんでふゆ、あんなデザインに…………,我怎么就想出了那么份设计…………
0000000000000,同級生１,ふゆちゃん、すごいね！\n先生、ベタ褒めだったじゃん,冬优好厉害！\n老师简直赞不绝口啊
1018005020050,冬優子,そんなことないって～！,哪有啦～！
0000000000000,同級生２,あるある\nアイツ、全然褒めないで有名なんだから,怎么没有\n那个老师可是出了名的不表扬人
0000000000000,同級生３,……私は褒められたことあるけどね,……不过我倒是被表扬过
1018005020060,冬優子,そうなんだ～,这样啊～
0000000000000,同級生２,黛さん、やっぱ服飾志望なの？,黛同学果然是想学服饰？
1018005020070,冬優子,ううん……\n選択だったから、たまたま取ってただけだよ,没有……\n我就是选修偶然选了这一门
0000000000000,同級生１,えーっ！\nたまたまでそれってすごくない？,哎！？\n偶然选的还这么厉害，太强了吧？
1018005020080,冬優子,あー…………\nあんまり持ち上げすぎないで,啊——……\n别把我捧这么高
0000000000000,同級生１,続けないの、もったいないよねぇ？\nふゆちゃん適性あるのに,不坚持下去多可惜啊？\n冬优你很有天赋哎
1018005020090,冬優子,もー、大袈裟だよ～,真是的，太夸张啦～
0000000000000,同級生３,……いいよね、黛さんのデザイン\n教科書通りっていうか、お行儀いい感じで,……黛同学的设计，确实不错\n一板一眼，就像教科书里出来的一样
1018005020100,冬優子,結局、相手しなきゃいけなくなるのは\nふゆなんだから,到头来，疲于应付的\n还不得是冬优我自己
0000000000000,同級生１,ね、先生も言ってたよね！\nふゆちゃんのデザイン、お手本みたいだって,是吧，老师也是这么说的！\n冬优的设计简直堪称范本
0000000000000,同級生３,……基本を押さえてる感、アピったほうが\nあの先生にはウケがいいからねー,……只要把掌握基础的感觉着重表现出来\n就能让那个老师特别赞赏
1018005020110,冬優子,……無様ねえ\n他人を下げないと自分を保てないやつって,……真是悲哀\n这种只能靠贬低别人抬高自己的家伙
1018005020120,冬優子,教科書通りにすらできないくせに\n自分は棚に上げるのよね、こういうタイプ,就是这种人，连照着课本画都不会\n就开始想着往自己脸上贴金了
1018005020130,冬優子,そうなんだ～\nふゆ、先生のことよく知らなくて……,这样啊～\n冬优不太熟悉这位老师……
0000000000000,同級生３,……あの講師、芸術家肌とは相性悪いから\n私みたいなタイプ、なかなか評価されないんだよね,……那个讲师和艺术家型的学生不太对付\n比如我就基本拿不到什么好评
1018005020140,冬優子,そっかぁ、勉強になるな～\nふゆ、全然評価されようと思ってやってなかったから,这样啊，涨见识了～\n冬优我之前都没想到要争取好评哎
0000000000000,同級生３,…………,…………
1018005020150,冬優子,ばーか……基本ができてないから\n功を焦って奇をてらったり、小細工に走るのよ,笨死了……还不是基础不牢\n才会急功近利，耍那些标新立异的小把戏？
1018005020160,冬優子,自惚れてる暇があるんだったら\nやることやってから僻みなさい,有工夫在那自我陶醉\n还不如先把该做的做好了再来跟我孤芳自赏
0000000000000,同級生２,じゃあ、進路はどうするの？\n何かやりたいこととかさ,那你未来打算怎么办？\n有什么想做的吗
1018005020170,冬優子,みんなと一緒だよ？\nふゆもまだ迷ってて……,和大家一样哦？\n冬优我也还在迷茫……
0000000000000,同級生１,ていうか、ふゆちゃんって可愛いよね？,话说回来，冬优你很可爱吧？
1018005020180,冬優子,…………え？,…………咦？
0000000000000,同級生１,スタイルいいし、肌めっちゃ綺麗だし、お人形みたい！\nそっち系の仕事とかも、いけるんじゃない？,身材又棒，肤质也好，像个洋娃娃一样！\n露脸的工作应该也没问题吧？
1018005020190,冬優子,え、ええっ……？\nちょっと、褒めすぎだよ～,呃，咦咦……？\n真是的，夸得太没边啦～
0000000000000,同級生２,そっち側でもいけそうだよね、全然\n黛さんだったら,确实，台前工作也完全能胜任\n黛同学的话
1018005020200,冬優子,…………そっち側,…………台前
1018005020210,冬優子,………………,………………
0000000000000,同級生３,……そんな可愛いなら、アイドルにでもなれば？,……你要那么可爱，干脆当个偶像得了？
1018005020211,冬優子,…………え？,…………哎？
0000000000000,同級生３,…………あっ、あの\nいい意味でっていうか……,…………啊，那什么\n我当然是真心的……
1018005020220,冬優子,…………アイドル？,…………偶像？
0000000000000,同級生１,ふゆちゃんなら、きっとなれるよ\nアイドル！,冬优肯定能胜任的\n偶像！
1018005020230,冬優子,そんな…………アイドルって……,哪里…………怎么偶像都出来了……
1018005020240,冬優子,…………ふゆが？,…………我当偶像？
1018005020250,冬優子,……ふゆは…………,……冬优我…………
0000000000000,同級生１,なんか楽しみ～！\n同じクラスの子がアイドルになるって,有点期待啊～！\n同班同学当上偶像
1018005020260,冬優子,…………も～っ！\nそれより、ほら……課題やるんでしょ？,…………真是的！\n不说那些了……大家不是要做作业吗？
1018005020270,冬優子,可愛くて、かっこよくて\nキラキラして…………,那么可爱、那么帅气\n那么耀眼…………
1018005020280,冬優子,特別な………………,那么特别的………………
info,produce_events/101800502.json,,
译者,zegao,,
