id,name,text,trans
0000000000000,羽那の高校の生徒たち,ほら、あれあれ\nバズっとる動画の人……！,快看，那边那个\n好像就是热门视频里的人……！
0000000000000,羽那の高校の生徒たち,うわ本物……！　ほんとにうちの学校におるんだ～～\nやば、実物も可愛いー,唔哇是本人……！   真的就在我们学校啊～～\n我去，真人也好可爱—
1027005030010,羽那,……？,
0000000000000,羽那の友達２,『#可愛すぎる友達』──,『#我那可爱到爆的朋友』──
0000000000000,羽那の友達３,……これが、その動画？,……这就是，那个视频？
0000000000000,羽那の友達１,そう！　私が数か月間撮り溜めた、羽那の最高に可愛い\n瞬間をぎゅっと見やすく30秒にまとめたものです,没错！   这可是我浓缩了几个月里以来拍到的羽那最最可爱的瞬间\n绝对让人一眼万年的30秒精华之作
1027005030020,羽那,わーっ……\nすごーい,哇—……\n好厉害—
0000000000000,羽那の友達２,…………それにしても,…………话说回来
0000000000000,羽那の友達２,この再生数、いいねの数──\nこれってバズっとるってことよな……！？,这个播放和点赞量——\n这已经算是火了吧……！？
0000000000000,羽那の友達１,バズってます！！　ふふ……\nでもね、それだけじゃなくて──,超火的！！   呵呵……\n而且哦，还不仅如此——
1027005030030,一同,？,
0000000000000,羽那の友達１,──なんと、スカウトが来ました！\nそれも色んなとこから……！,——没想到吧，连星探都吸引来了！\n而且是好几个……！
0000000000000,羽那の友達２＆３,えーーーーーーーっ…………！！,诶———————…………！！
0000000000000,教師,……であるからして────,……因为所以科学道理————
1027005030040,羽那,…………,
0000000000000,羽那の友達１,DMの文章が適当なとことか、検索しても\n事務所が出てこんのは怪しいし論外よな,联络信写得很随便，而且这事务所\n我在网上都搜不到，这么可疑的还是算了
0000000000000,羽那の友達１,……で\n私がええなって思うのはここ,……诶\n我觉得这里不错
0000000000000,羽那の友達１,────２８３プロ！,————283Pro！
0000000000000,羽那の友達３,……あ、聞いたことある\nアイドルの事務所だっけ？,……啊，我有听过\n好像是个偶像事务所？
1027005030050,羽那,アイドル──,偶像——
1027005030060,羽那,アイドルにスカウトされても\nあたし、歌もダンスもちゃんとやったことないよ？,即使被星探发掘了\n我也从来没有在台上唱歌跳舞的经历哦？
0000000000000,羽那の友達１,んー、でもまだ10代だし,嗯—，反正才十几岁
0000000000000,羽那の友達１,これからでも大丈夫なんじゃない？,从现在开始学也来得及嘛？
1027005030070,羽那,……そっかーっ,……也是—
1027005030080,羽那,…………,
1027005030090,羽那,（２８３……）,
1027005030100,羽那,（ツ、バ、サ……）,（羽，異，翼……）
0000000000000,教師,では、次の問３を──\n鈴木,那么，第三题就让——\n铃木同学
1027005030110,羽那,（翼……）,（翼……）
0000000000000,教師,おーい\n鈴木、鈴木ーー、聞いとんかー,喂—\n铃木同学，铃木同学——，你在听吗—
1027005030120,羽那,──それで、スカウトが来た中の\n２８３プロっていうアイドル事務所の人が,——所以说，在联系我的星探里有一位\n来自叫做283Pro的偶像事务所的人
1027005030130,羽那,直接話をしに来てくれるみたいだから、\n会ってみようかなって思うの,好像是特地前来想找我谈谈，\n所以我想要不要和他见上一面
0000000000000,羽那の母＆弟,…………,
0000000000000,羽那の弟,すげー、ええなぁ！,厉害了—，不错诶！
0000000000000,羽那の母,アイドル……\nって、歌って踊るあの？,偶像……\n指的是在台上唱歌跳舞的那种？
1027005030140,羽那,うんっ\nたぶん,嗯\n应该是
0000000000000,羽那の母,羽那は、アイドルになりたいん？,羽那想当偶像吗？
1027005030150,羽那,……なりたいってわけじゃないけど──\nなりたくないわけでもないよ,……倒也不是想当——\n但也不是不想
1027005030160,羽那,でも、友達がみんな\nアイドルになった方がいいって言ってくれるの,不过，朋友们都劝我说当偶像好
0000000000000,羽那の母,そっかぁ,这样啊
0000000000000,羽那の母,まぁ……\nいつかは就職せんとおえんしね,嘛……\n反正你总有一天要工作的
0000000000000,羽那の母,羽那、別に今\n将来の夢があるわけでもないんよな？,羽那，你目前对未来\n也没什么特别的梦想吧？
1027005030170,羽那,うん,嗯
0000000000000,羽那の母,じゃあ、とりあえず話を聞いてみて\n考えてみる、でお母さんもええと思うわぁ,那你姑且就去听听那人说的吧\n想清楚了的话妈妈也支持你
0000000000000,羽那の弟,なー\n俺はスカウト受けるのに賛成,对对\n—我也支持
0000000000000,羽那の弟,姉ちゃんがアイドルとかヤバいし！,姐姐要是当了偶像那可不得了！
1027005030180,羽那,……,
1027005030190,羽那,あはっ、そうだよねー,啊哈，确实呢—
info,produce_events/102700503.json,,
译者,,,
