id,name,text,trans
2009006040010,果穂,いっけー！\nジャスティスレッドー！,冲啊！\n正义红！
2009006040020,果穂,わぁ！　プロデューサーさん、見ましたか？\n今のキック、スゴかったです！,哇！制作人，看到了吗？\n刚才的飞踢，真的好厉害啊！
0000000000000,プロデューサー,ああ、見事に決まったな\nさすが――あっ,啊啊，作为最后一击真是漂亮\n真不愧是——啊
2009006040030,果穂,あー！　大変ですっ\n今度はジャスティスレッドがピンチに！,啊——！ 糟了\n现在是正义红陷入危机了！
2009006040040,果穂,あんなにいっぱい怪人が……\nがんばれー！　ジャスティスレッド～！,有那么多怪人……\n加油啊——！ 正义红～！
0000000000000,プロデューサー,（果穂、楽しそうだな……！\n確かに、すごく迫力のあるショーで……）,（果穗，感觉挺开心的样子……！\n不过，这演出确实挺不错啊……）
0000000000000,プロデューサー,俺も応援しないとな！\nいけー！　ジャスティスレッド！,我也来应援吧！\n上啊！ 正义红！
2009006040050,果穂,わぁ、プロデューサーさん\nおっきな声です！　スゴいです！,哇，制作人\n的声音好大！ 好厉害啊！
2009006040060,果穂,――あっ！？\nジャスティスレッドが倒れちゃいました……！,——啊！？正义红被打倒了……！
2009006040070,果穂,プロデューサーさん！\nピンチの時こそ、ヒーローには応援が必要なんですっ！,制作人！\n越是危险的时候，英雄就越需要大家的声援哦！
2009006040080,果穂,ファイトだー！　ジャスティスレッドー！,加油！ 正义红！
0000000000000,プロデューサー,なるほどな……\nよしっ！,这样啊……\n那！
0000000000000,プロデューサー,頑張れー！　ジャスティスレッドー！,加油啊！ 正义红！
2009006040090,果穂,負けるなー！　ジャスティスレッドー！,别输给他们！ 正义红！
2009006040100,果穂,――わあっ！\nジャスティスレッドが立ち上がりました！,——哇！\n正义红又站起来了！
2009006040110,果穂,いけー！\n必殺技だー！,冲啊！\n看我的必杀技——！
2009006040120,果穂,～～～っ！\nスッッッゴくおもしろかったです！,～～～！～～～真的超超超级有意思！
2009006040130,果穂,怪人がたくさん出てきた時は\nドキドキしちゃいましたけど……,当时有那么多的怪人\n心紧张的直跳不过……
2009006040140,果穂,プロデューサーさんの応援で、\nジャスティスレッドが復活しました！,多亏了制作人的声援，\n正义红才又复活了！
0000000000000,プロデューサー,はは、俺だけじゃなくて\nみんなの応援が力になったんだよ,哈哈，不光是我\n还有大家声援的都成了他的力量哦
0000000000000,プロデューサー,ヒーローショーってすごいな\n見てると、応援したいって気持ちが湧いてきて……,英雄的舞台剧真是厉害啊\n光是看着，就让人很想为他们声援了……
2009006040150,果穂,プロデューサーさんもそう思いますか！？\nあたしも、いっつも全力で応援しちゃうんです！,制作人也是这么想的吗！？\n我也是，一直全力为他们应援的！
0000000000000,プロデューサー,ああ。果穂の応援する元気な声、\n今でも耳に残ってるよ,啊。果穗应援时候那充满活力的声音，\n现在还留在我耳边。
0000000000000,プロデューサー,果穂の声は、きっとジャスティスレッドの\n力になっただろうな,果穗的应援声，肯定会成为\n正义红的力量
2009006040160,果穂,えへへへへ……,欸嘿嘿……
2009006040170,果穂,……あたしも、ステージに立ってる時\nみなさんの応援で強くなれます,……我也一样，登上舞台的时候\n有大家的声援就会变得更厉害
2009006040180,果穂,だから……ジャスティスレッドに\nあたしの声が届いていたなら、うれしいです！,所以……如果我的声音能够\n传达给正义红的话，那我就太高兴了！
select,,果穂は無敵だな,那果穗就是无敌的了
select,,だから果穂のエールは\n力強いのか,所以果穗的声援\n才会显得那么有力啊
select,,果穂は強いな,果穗好厉害啊
2009006040190,果穂,無敵……！,无敌……！
2009006040200,果穂,プロデューサーさんっ！\nどういうことですか！？,制作人！\n这是什么意思！？
0000000000000,プロデューサー,果穂はファンから声援をもらうと、強くなるだろ？,果穗被大家声援的时候，会变强是吧？
2009006040210,果穂,はい、スッゴく強くなれます！\nステージの上だと、なんだって出来ちゃいそうです！,是的，会变得超级强！\n只要在舞台上，总觉得什么都办得到！
0000000000000,プロデューサー,元気な果穂の声を聞くと、ファンも元気になれるんだ\n果穂が、ジャスティスレッドから元気をもらったみたいに,听到果穗充满活力的声音的话，粉丝们也会变得精神起来\n就像，果穗从正义红那里获得活力一样。
0000000000000,プロデューサー,果穂は応援する人の気持ちも、\nされる人も気持ちも知っている,果穗你清楚应援时候的心情，\n也知道被声援时候的心情。
0000000000000,プロデューサー,応援の力を、\nめいっぱいのパフォーマンスでお返しできる……,所以可以，\n将应援得来的力量全力的返回去……
0000000000000,プロデューサー,だから果穂は、無敵なんだ！,所以，果穗是无敌的！
2009006040220,果穂,わあ……！,哇……！
2009006040230,果穂,あたし、応援の声が聞こえると、\nその声に応えたくていっぱいがんばれちゃいます,我呢，听到应援的声音的话，\n为了回报他们会非常的努力
2009006040240,果穂,応援してくれた人にありがとうって\n気持ちを届けたくて……スッゴく力が湧いてくるんです！,为了向应援的大家\n传递出感谢的心情……就会涌出一股很厉害的劲头！
0000000000000,プロデューサー,その気持ちが届いているからこそ\nみんなはもっと果穂のことを応援してくれるんだ,就是因为这份心情传达到了\n所以大家才会更加的为果穗应援
2009006040250,果穂,そっか……\nちゃんと、届いてるんだ……,这样啊……\n有好好的，传达给大家啊……
2009006040260,果穂,あたし、これからもいーっぱい、\nありがとうの気持ちを届けたいです！,我，从今以后也要更多的，\n把感谢的心情传递出去！
2009006040270,果穂,それで、もっともっと無敵になっちゃいます！,那样的话，就能变的更加更加的无敌了！
0000000000000,プロデューサー,果穂は、ファンの人たちに応援の声をもらうことが、\nどれだけ力になるかを知っている,果穗，你知道从粉丝那里来的\n应援声有着多了不起的力量
0000000000000,プロデューサー,だからさっきもヒーローに力強い声援を\n送ることができたんだな,因为这样所以才能为英雄\n送上那么强力的声援啊
2009006040280,果穂,えへへ、プロデューサーさんの声も\nとっても力強くてカッコよかったです！,欸嘿嘿，制作人的声援\n也非常有力非常帅气！
2009006040290,果穂,あたしも、プロデューサーさんに応援してもらうと\nスッゴく強くなれるんです！,我也，要是制作人为我声援的话\n就会变得非常强哦！
