id,name,text,trans
3004014020010,智代子,『毎日途切れることなく\nそれは空から降りつづけた』,“每天源源不绝地\n从天空飘落”
3004014020020,摩美々,『昨日も、今日も、恐らく明日も\n空がありカモメが飛ぶかぎりは』,“昨天、今天、明天\n只要海鸥仍在空中飞翔”
3004014020030,霧子,『しばらくして私は町を離れたのだったが\nあの夏の庭を、あの奇妙な日々を忘れたことはない』,“我暂时离开了小镇\n但我绝对不会忘记在那个夏天的庭园里、那段奇妙的日子”
3004014020040,真乃,『そして彼女が今も浜に立ち、\n空からの祝福を受けていることを祈る』,“如今也在祈祷着，\n她能在海边接受从天空飘落的祝福”
3004014020050,真乃,『あの人のために\nあの人の生きる世界のために』,“为了那个人\n为了那个人所在的世界”
3004014020060,off,『ふふふっ……！』,“呵呵呵……！”
3004014020070,真乃,わ……\nいい匂いだね……っ,哇……\n好香啊……
3004014020080,智代子,うん！\nこの音もたまらないね……！,嗯！\n光听声音就叫人口水直流……！
3004014020090,恋鐘,『１』,“1”
3004014020100,恋鐘,『フライパンに、\nオリーブオイルと細かくきざんだニンニクを』,“将橄榄油，\n和切好的蒜末”
3004014020110,恋鐘,『ぱらぱら～っと入れて\n弱火でいためる』,“下入平底锅\n小火翻炒”
3004014020120,恋鐘,こ、こん貝殻、\n600あいもすると～～！？,这、这种贝壳\n居然要600点ai～～！？
3004014020130,恋鐘,ふぇ～……,诶～……
3004014020140,摩美々,そろそろあれが投入されるねー,差不多该把那个放进去了——
3004014020150,霧子,うん……あれが……,嗯……那是……
3004014020160,恋鐘,『２』,“2”
3004014020170,恋鐘,『よか匂いのしてきたら、\n水抜きと塩抜きをすませたアサリを入れる』,“炒香后，\n放入沥干水分和盐的蛤蜊”
3004014020180,恋鐘,『白ワインをさ～っとかけて強火でじゅ～～っ！\nすぐにフタして中火で蒸す』,“迅速加白葡萄酒转大火～～！\n然后把锅盖上用中火蒸”
3004014020190,智代子,600あい……\nちょっと覚悟のいる額だよね……！,600点ai……\n是需要咬咬牙的数额呢……！
3004014020200,智代子,でも大丈夫！\nあいはミニゲームでも増やせてしまうのです！,不过没关系！\n玩小游戏也能赚ai！
3004014020210,真乃,う、うん……っ,嗯、嗯……
3004014020220,真乃,あの、波に濡れないように走るのとか……っ,比如，闪避海浪拍打的游戏……
3004014020230,恋鐘,あ～～！\nあれで増えるとね～～！！,啊～～！\n还能这样啊～～！！
3004014020240,摩美々,はぁ……\nお腹減ったぁ……,哈……\n肚子饿了……
3004014020250,恋鐘,『書き忘れました\nパスタは先に茹でとかんといけません』,“上面忘写了\n要提前煮好意粉”
3004014020260,恋鐘,『それで、３』,“然后，3”
3004014020270,恋鐘,『じきにアサリのフタが開いてくるので\nそうなったらパスタを投入～』,“蛤蜊很快就会开口\n开了后放入意面～”
3004014020280,恋鐘,『ゆで汁もちょっと入れたらよかです\n一緒にバターも入れて、あえる！』,“留一点煮意粉的汁\n和意粉一起放入，拌匀！”
3004014020290,恋鐘,ばってん、\nうちあれ苦手ばい～！　波のミニゲーム～～！！,可是，\n人家不擅长～！　玩这个海浪的游戏～～！！
3004014020300,霧子,それじゃ……,那么……
3004014020310,霧子,ホタルさんを……見つけるのも……\nあるよ……,还有……去找萤火虫先生的……\n游戏……
3004014020320,恋鐘,ん～～\nそいもうちが行った日は絶対おらんもん～～！,嗯～～\n这游戏也是，人家选哪天去它哪天不在～～！
3004014020330,智代子,はー……\nお腹、減ったね……！,哈——……\n肚子饿了呢……！
3004014020340,恋鐘,『あ、ここに醤油とかたらすのもOK』,“啊，这里也能淋点酱油之类的”
3004014020350,摩美々,じゃー600あいになりますー\nさくっと交換していきましょー,那么——凑好600点ai了——\n赶紧去换吧——
3004014020360,恋鐘,ま、待たんね～～！\n600円やったらなんでも買えるとばい～～！,等、等一下～～！\n有600日元的话能买任何东西啊～～！
3004014020370,霧子,ふふ……\n600あいだよ……,呵呵……\n这是600点ai……
3004014020380,摩美々,や、なんでもは買えないー,不，也不是说什么都能买吧——
3004014020390,恋鐘,ん～～！\nお醤油と塩と砂糖買ってコショウもついてくるけん～！,嗯～～！\n能买酱油、盐、糖，还附带胡椒呢～！
3004014020400,真乃,……\nお腹、減ったね……っ,……\n肚子，好饿啊……
3004014020410,恋鐘,『そいで、皿に盛りつけたらコショウば振る！』,“然后，放入盘中撒入胡椒！”
3004014020420,智代子,お醤油、塩、砂糖、コショウ……\nどれも必須アイテムだねっ,酱油、盐、糖、胡椒……\n全是必备品呢
3004014020430,霧子,わ……！,哇……！
3004014020440,真乃,600円、すごいな……っ,600日元，好强大……
3004014020450,摩美々,ちょっとー\nみんな、貝殻いらないのー？,等一下——\n你们不要贝壳了吗——？
3004014020451,一同,────あははっ……,————啊哈哈
3004014020460,霧子,……\nお腹……減ったね……！,……\n肚子……饿了……！
3004014020470,恋鐘,『刻んだパセリも散らしてよかです！』,“撒点芹菜末也不错！”
3004014020480,恋鐘,うん、よか香り～～！,嗯，真香～～！
3004014020490,恋鐘,みんな～～\nお待ちどうさま～～～！,各位～～\n让你们久等啦～～～！
3004014020500,摩美々,きたぁ,来了
3004014020501,一同,はーい…………！,好耶…………！
3004014020510,恋鐘,『600円で、あさりを買いました』,“用600日元买了蛤蜊”
3004014020520,智代子,合掌！,双手合十！
3004014020521,一同,いただきまーす！,我开动啦——！
3004014020530,恋鐘,『まだ貝殻のアイテムを\nゲットできていなくてごめんなさい』,“对不起\n人家没能买到贝壳”
3004014020540,恋鐘,『そいでも』,“尽管如此”
3004014020550,摩美々,うま……,不错……
3004014020560,智代子,美味しい……！,好吃……！
3004014020570,真乃,……っ,……
3004014020580,霧子,美味しいな……,很美味呢……
3004014020590,恋鐘,『まわりのみんなが\nいっぱい楽しんで』,“身边的人\n都充分体验了游戏”
3004014020600,智代子,合掌！,双手合十！
3004014020601,一同,ごちそうさまでしたー！,多谢款待——！
3004014020610,恋鐘,『みーんな\n貝殻買ってくれました』,“大家\n买了贝壳”
3004014020620,恋鐘,『お話も楽しんでくれました』,“也玩过了剧情”
3004014020630,恋鐘,ふんふ～ん\nふふ～ん────,哼～哼\n哼～哼————
3004014020640,恋鐘,んふふ～～,哼哼哼～～
3004014020650,恋鐘,貝殻、い～っぱい！,有好多贝壳！
3004014020660,恋鐘,みんな、\nば～りたくさん食べてくれたとね～～,她们\n吃了好～多好多呢～～
3004014020670,恋鐘,『また機会がありましたら\nうちを呼んでください』,“今后还有机会的话\n要再找人家哦”
3004014020680,恋鐘,『このたびはよかお仕事をいただき、\nありがとうございました』,“谢谢你们\n给了这么好的工作”
3004014020690,恋鐘,『感謝とあいと』,“附上感谢和ai”
