id,name,text,trans
3004008010010,恋鐘,ふぁ～！\n今日もば～り頑張ったばい！,呼啊～！\n今天也尽力了！
3004008010020,咲耶,フフ、お疲れ様,呵呵，辛苦了
3004008010030,咲耶,今日の収録も恋鐘の魅力が\n出ていたと思うよ,我觉得今天的拍摄\n也展现出了恋钟的魅力哦
3004008010040,恋鐘,んふふ～、そがん言われると恥ずかしかぁ～！,嗯哼哼～，被这么说有点难为情啊～！
3004008010050,恋鐘,そいでも、ちょっと馴れん仕事やったけん\n咲耶が一緒で心強かったばい！,不过，我还不怎么习惯这种工作\n和咲耶一起就安心多了！
3004008010060,咲耶,それは光栄だ\n…………,你能这么说，真是非常荣幸\n…………
3004008010070,恋鐘,咲耶？　どげんしたと？,咲耶？怎么了？
3004008010080,咲耶,──いや,——没什么
3004008010090,咲耶,前にふたりでお茶をしたのも、\nこの近くだったなと思い出してね,我想起以前和你一起喝茶的地方，也是在这附近
3004008010100,恋鐘,え～？　前に……──？,诶～？以前……——？
3004008010110,恋鐘,咲耶、咲耶～！,咲耶，咲耶～！
3004008010120,恋鐘,うち、２階がよか～！\nあそこ、外の見えるとこ～！,我喜欢二楼～！\n那边，能看见外面～！
3004008010130,咲耶,フフ、私はどこでも構わないよ,呵呵，我哪里都可以
3004008010140,恋鐘,んふふ～、ありがと～！,嗯哼哼～，谢谢～！
3004008010150,恋鐘,そいじゃあ、あっち！\n行こうかね！,这样的话，那边！\n我们过去吧！
3004008010160,咲耶,恋鐘、転ばないようにね？,恋钟，小心别摔倒了哦？
3004008010170,恋鐘,わかっとる～！,我知道～！
3004008010180,恋鐘,ここん席ば、とったばい～！,这里的坐席，归我了～！
3004008010190,恋鐘,ふぁ～！　咲耶！　窓の外～！\n人の数、すごかね～……,哇～！咲耶！窗户外面～！\n好多人啊～……
3004008010200,恋鐘,今日はお祭りかなんかやろか……！,今天是有什么活动吗……！
3004008010210,咲耶,ああ、本当だね,啊啊，真的很多呢
3004008010220,恋鐘,信号青になったらみ～んな横断歩道渡っていきよる！\nなしてぶつからんとやろ……,信号灯一变绿，斑马线上便人来人往！\n为什么不会撞到呢……
3004008010230,恋鐘,すごかぁ…………,好厉害…………
3004008010240,恋鐘,都会はすごかね、咲耶～！\nうち、い～っつもそがん思っとると,都市真厉害呢，咲耶～！\n我一直都这么想
3004008010250,咲耶,クス、私もさ\nこちらに来てから心動かされない日はないよ,呵呵，我也是啊\n来这边以后，没有哪一天内心不受到触动
3004008010260,恋鐘,んふふ～！　咲耶もそうやったら間違いなか！,嗯哼哼～！咲耶也这么想的话，那就不会有错！
3004008010270,咲耶,ああ。まるで大海原さ\nどんなものが眠っているのか、何に出会えるのか──,嗯。就像是大海一样\n不知道有什么在沉睡着，又能遇见些什么——
3004008010280,咲耶,それも広大な世界の中のほんの一部なのだから\n驚くしかないよ,而那些，也只是广阔世界中的一小部分\n没法不感到惊奇啊
3004008010290,恋鐘,そがん、世界ほどおっきか話になったら\n難しかけど──,话题扩展到这么大的世界上来\n就有点难说了呀——
3004008010300,恋鐘,こん海ん中に、うちとかアンティーカのこと知っとる人、\nきっとだ～れもおらんよね？,在这样的海洋里，肯定没有人，\n会知道我们L'Antica吧？
3004008010310,咲耶,そうでないと嬉しいけれど、\nフフ、私たちも船出をしたばかりだからね……,有人知道的话就好了呢，\n呵呵，毕竟我们才刚刚扬帆起航呀……
3004008010320,恋鐘,港やったらみ～んな知っとったとに……\nそがん思うと、世の中は広かぁ～！,明明家乡港口的大家都知道……\n这么一想，世界还真是辽阔呀～！
3004008010330,咲耶,ああ、世界は広い,嗯，世界非常辽阔
3004008010340,恋鐘,ばってん──,但是——
3004008010350,恋鐘,今見えとるみ～んな、\nうちらのファンになってもらうけんね！,要让现在眼前的人们，\n都成为我们的粉丝！
3004008010360,咲耶,……！,
3004008010370,恋鐘,んふふ～、そしたら握手会とか\nす～っごい列になるとよ,嗯哼哼～这样的话像是握手会之类的时候\n会排很～长的队哦
3004008010380,恋鐘,みんなの顔覚えるの大変ばい～！\nがんばらんば～,要记住大家的脸很费功夫～！\n得好好努力才行～
3004008010390,咲耶,フフ、そうだね\nこれからが楽しみだよ,呵呵，对呀\n真是期待今后啊
3004008010400,恋鐘,うちも！,我也是！
3004008010410,恋鐘,そいで歌もダンスもたくさんやって！\nCMとかも、い～っぱい出るとよ,然后唱好多的歌，跳好多的舞！\n再拍好多好多广告
3004008010420,咲耶,それは素敵だ。街頭の広告にも\n可愛らしい恋鐘がたくさん載るんだろうね,不错呢。到时候街头上也会有很多\n印着可爱恋钟的广告吧
3004008010430,恋鐘,うん！　あそこと～、あっちの看板！\nあとこの上のおっきかテレビもぜ～んぶ……,嗯！像是那边～，还有那一边的广告牌！\n还有这上面的大屏幕，全～部……
3004008010440,恋鐘,ぜ～んぶ、うちらになる！,都会有我们的身影！
3004008010450,咲耶,恋鐘がそう言うと\n実現できそうな気がするよ,恋钟这么说的话\n让人感觉真的能够实现呢
3004008010460,恋鐘,あそこの看板も目立つし、あそこもよかね……\n咲耶はどこがよか～？,那边的广告牌很显眼，那里的也很棒呢……\n咲耶觉得哪里好～？
3004008010470,咲耶,……そうだな、やっぱりこの上の\n一番大きいビジョンがいいかな,……唔，果然还是上面这块最大的屏幕吧
3004008010480,恋鐘,やっぱりそこがよかよね！\nうちも～！,果然还是这里好呢！\n我也这么觉得～！
3004008010490,恋鐘,アンティーカの曲とかが流れとって……\nうちとか咲耶とか、霧子、摩美々、結華……,放着L'Antica的歌……\n然后我、咲耶、雾子、摩美美，结华……
3004008010500,恋鐘,５人の顔がば～ん……！\n間違いなか！,五个人的脸唰的一下出现……！\n不会有错的！
3004008010510,咲耶,ああ、その時は一緒に見に来たいものだね\n……フフ、５人で来たら大騒ぎになるかな,嗯，到时候想一起来看呢\n……呵呵，五个人过来的话会不会引发骚动呀
3004008010520,恋鐘,うん！　はよ見たか～！\nどがん感じになるとやろか～……,嗯！好想早点看到啊～！\n会是什么样的广告呢～……
3004008010530,咲耶,きっと、恋鐘の可愛らしさが溢れるような……\nそんな画面になるはずさ,肯定会充分展现出\n恋钟的可爱之处吧
3004008010540,恋鐘,え～～っ！\nうちだけじゃお話にならんよ！,诶～～！\n只有我怎么行！
3004008010550,恋鐘,咲耶とみんなとでば～りばりばい～！,得和咲耶还有大家一起～！
info,produce_events/300400801.json,,
译者,Rosineae,,
