id,name,text,trans
3005010030010,結華,──あっ、見て見て！,——啊、快看快看！
3005010030020,霧子,わぁ……！,哇啊……！
3005010030030,恋鐘,桜のきれかね～～！,樱花好漂亮呀～～！
3005010030040,摩美々,…………で,…………所以
3005010030050,摩美々,今日はその綺麗な桜を\n見に行くんじゃなかったのー？,今天不是要\n去看那漂亮的樱花来着吗——？
3005010030060,恋鐘,うん～～！,嗯～～！
3005010030070,恋鐘,やけん、お花見も兼ねた魚釣りに行くとよ～,所以，去钓鱼兼顾赏花～
3005010030080,摩美々,それ……\n釣りとか聞いてないんだケド……,那个……\n我可没听说过要钓鱼……
3005010030090,咲耶,フフ、そう言わないで,呵呵、别这么说嘛
3005010030100,恋鐘,だって、摩美々が『どこでもいいよー』って\n言いよったけん～,因为摩美美你自己说的\n“去哪都行——”这样～
3005010030110,摩美々,でも釣りになるとは思わないでしょー,但一般不会想到要钓鱼的吧——
3005010030120,結華,何言ってんのまみみん\n我らアンティーカ、想定外になるのはむしろ想定内でしょ！,说什么呢摩美美\n不如说吾等安提卡、意料之外才是预想之中吧！
3005010030130,霧子,ふふ……\nうん……！,呵呵……\n嗯……！
3005010030140,摩美々,…………はぁ……,…………哈啊……
3005010030150,摩美々,……全然、釣れもしないし……,……根本、钩都不上……
3005010030160,咲耶,──摩美々\nなにも釣果だけが釣りの醍醐味ではないさ,——摩美美\n钓鱼的乐趣并非只在成果多少啊
3005010030170,咲耶,風や喧騒、この春の空気に身を委ね……,春风融喧骚，此身委于春天的空气中……
3005010030180,咲耶,ただ、ぼーっとこの時間を楽しむのも\n存外悪くないものだよ,仅仅是沉浸在这段放空的时光里\n也是不错的享受啊
3005010030190,摩美々,…………\nぼーっと、ねー……,…………\n放空、啊——……
3005010030200,恋鐘,この鯉、\n釣れたら持って帰れると～？,这里的鲤鱼，\n钓到的话能带回去吗～？
3005010030210,結華,いやいや\nキャッチ＆リリースですよ、こがたん,不不不\n捕捉＆放生噢，恋钟钟
3005010030220,霧子,ふふ……\nあっちのは……持って帰れるよ……,呵呵……\n那边的……能带回去噢……
3005010030230,恋鐘,ふぇ……！　ほんとやね～！\nあっちにスーパーボールすくいのある～,呼诶……！　真的耶～！\n那边有捞彩球～
3005010030240,摩美々,…………,
3005010030250,摩美々,（……みんなもう釣りすらしてないし……）,（……大家甚至都不钓了……）
3005010030260,摩美々,（……まぁ、でも……）,（……嘛、不过……）
3005010030270,摩美々,…………,
3005010030280,摩美々,……！,
3005010030290,摩美々,……ちょっとー,……等下——
3005010030300,摩美々,これ、来た感じ……？,这个、是上钩了……？
3005010030310,霧子,もうちょっとだったね……\n摩美々ちゃん……,就差一点点呢……\n摩美美……
3005010030320,摩美々,んー……,嗯——……
3005010030330,摩美々,……ていうか\n私だけじゃなくて、誰も釣れなかったでしょー,……话说\n不只是我，大家谁都没钓上鱼来吧——
3005010030340,結華,あそこの鯉、\n釣られ慣れちゃってる感じあったもんねぇ,那边的鲤鱼，\n感觉都习惯被钓了嘛
3005010030350,恋鐘,──ああ～～っ！！,——啊啊～～！！
3005010030360,結華,何！？\nどしたのこがたん！？,诶！？\n怎么了恋钟钟！？
3005010030370,恋鐘,スーパーボールすくい……\n忘れとった～～～～,捞彩球……\n忘记了～～～～
3005010030380,霧子,どこかで……\n買えるかな……？,能在哪里……\n再买到吗……？
3005010030390,恋鐘,それじゃだめばい……\nうちはすくうのをやりたかったとよ……,那样不行……\n咱想要捞彩球的……
3005010030400,摩美々,なら、また今度来ればいいんじゃないー,那、下次再来不就好了——
3005010030410,咲耶,……おや,……噢呀
3005010030420,咲耶,どうやら摩美々は、\n釣りをお気に召したようだね,看来摩美美，\n对钓鱼还挺满意的呢
3005010030430,摩美々,……咲耶ぁ\n誰もそんなこと言ってないでしょー,……咲耶\n那种话谁都没说过好吧——
3005010030440,摩美々,……ただ……,……只不过……
3005010030450,摩美々,釣れないままなのも\nなんかやだってだけだし……,一直钓不上来也\n总让人觉得有点厌烦……
3005010030460,結華,あははっ、確かに！\nやられっぱなしじゃあねぇ！,啊哈哈、确实！\n一直被鱼耍着也不好受嘛！
3005010030470,霧子,ふふ……\nうん……,呵呵……\n嗯……
3005010030480,摩美々,ていうかぁ、\nそろそろお腹空いたんだケドー,话说回来，\n感觉肚子开始饿起来了——
3005010030490,恋鐘,うちも～！\nばりお腹空いた～～,咱也是～！\n肚子好饿～～
3005010030500,結華,じゃあ近くのお店入ろっか\n何か食べたいものある人ー？,那就去附近的店吧\n有什么想吃的吗——？
3005010030510,摩美々,魚料理ー,鱼料理——
3005010030511,一同,えっ,诶
info,produce_events/300501003.json,,
译者,魚見,,
