id,name,text,trans
0000000000000,スタッフ１,──弁当、買ってきましたんで、\nここ置いておきまーす,——我买来便当了，\n就放这里
0000000000000,スタッフ２,ありがとー！\nあと、そっちの機材一緒に運んでもらえる？,谢谢——！\n能顺便搬下那边的器材吗？
0000000000000,スタッフ３,あ、俺も手伝いましょうか──,啊，我也来帮忙吧——
3021005020010,小糸,い、いいのかな……？,可，可以吗……？
3021005020020,雛菜,ん～？,嗯～？
3021005020030,小糸,わたしたちだけストーブのそばで……,只有我们在暖炉旁边……
3021005020040,小糸,スタッフさん忙しそうだし……\n何かお手伝いとか……,工作人员好像也很忙……\n我们能不能帮个忙……
3021005020050,円香,逆に邪魔になるんじゃない,不会帮倒忙吗
3021005020060,円香,それより\n……見てたら？,倒是\n……不看她吗？
0000000000000,カメラマンの声,──いいね～、浅倉クン……！,——真不错～，浅仓……！
0000000000000,カメラマンの声,次、顔の向きそのままで目線だけこっちに……\nそうそう～！　いい感じ──……,接下来脸不动，只有视线往这里……\n对对～！ 很不错——……
3021005020070,円香,……次、小糸の番でしょ,……下个轮到小糸了吧
3021005020080,小糸,み、見てるよ……！\nちゃんと……！,我，我有在看……！\n认真看……！
3021005020090,小糸,指示も、聞いてるし……,也有在听他们的指示……
3021005020100,円香,ん,嗯
0000000000000,カメラマンの声,──……！　……、………………,
0000000000000,カメラマンの声,…………,
3021005020110,円香,……ここからだと、\n全部は聞こえないけどね,……这里的话，\n没法全部听清楚
3021005020120,小糸,じゃ、じゃあ\nもうちょっとだけ近づいてみる……？,那，那就\n再靠近一点点呢……？
3021005020130,円香,……邪魔じゃない？,……不打扰她们吗？
3021005020140,雛菜,雛菜はここでいい～,雏菜在这里就好～
3021005020150,小糸,う……うん……\nそうだね……,啊……嗯……\n是啊……
3021005020160,小糸,……,
3021005020170,小糸,み、みんな見てる……,大，大家都在看……
3021005020180,円香,ん？,嗯？
3021005020190,小糸,他の出演者さんたちも、スタッフさんも、\nみんな、透ちゃん見てる……,其他的出演者，还有工作人员，\n大家都在看小透……
3021005020200,雛菜,あは～\nそうだよね～,啊哈～\n好像是～
3021005020210,雛菜,透先輩、見ちゃうよね～,大家都会看透学姐呢～
3021005020220,小糸,う、うん……,啊，嗯……
3021005020230,円香,小糸も同じくらい注目されるよ,小糸也会受到差不多程度的瞩目的
3021005020240,小糸,ぴぇ……\nそ、そうかな……？,耶……\n是，是吗……？
3021005020250,円香,知らないけど、多分ね,我不知道，但大概是吧
0000000000000,カメラマン,──はーい、オッケー！,——好，OK！
0000000000000,カメラマン,次……！　次……\nあれ、小糸チャンだったか……,下一位……！ 下一位……！\n咦，是小糸啊……
3021005020260,小糸,は、はい……！,好，好的……
0000000000000,カメラマン,ごめんごめん！　ちょっと変更で、\n透クンと円香クンのペアを先にさせてもらってもいいかな,抱歉抱歉！ 稍微改一下，\n可不可以让透和圆香一组先拍
0000000000000,カメラマン,今の流れで撮っておきたくって,我想用刚才的感觉拍下去
0000000000000,スタッフ１,わかりました\n円香さん、こちらに……！,我知道了\n圆香，请往这边
3021005020270,円香,あ……はい,啊……好的
0000000000000,スタッフ２,準備するので、\n10分休憩にしまーす──……,我们需要准备，\n先休息10分钟——……
3021005020280,円香,……ごめん、ちょっと先に,……抱歉，我先了
3021005020290,小糸,ううん……！\nが、頑張ってね……！,没事……！\n加，加油……！
3021005020300,透,ういー,好——
3021005020310,円香,うい。良かったじゃん,好。不挺好的吗
3021005020320,透,え\nまじ？,诶\n真的？
3021005020330,円香,みんな、見惚れてた,大家都看呆了
3021005020340,円香,小糸も雛菜も、スタッフさんも,小糸和雏菜，还有工作人员
3021005020350,透,えー,诶——
0000000000000,ヘアメイク,──それじゃ、円香さん\n髪、ちょっと整えますね～～,——那么圆香\n我帮你整理下发型～～
3021005020360,円香,はい、よろしくお願いします,好的，拜托了
0000000000000,ヘアメイク,立ったままでごめんね～\n前から失礼します～～,站着整理真不好意思～\n我从前面开始弄哦～
0000000000000,カメラマン,──透クン～、その間にちょっといい？,——透，趁这段时间过来一下？
3021005020370,透,あ、はい,啊，好的
0000000000000,カメラマン,さっきの雰囲気、めちゃくちゃ良かったよ～\n物憂げっていうか神秘的っていうか、コンセプトぴったり！,刚才的感觉非常不错～\n有点厌烦又有点神秘的感觉，正符合这次的主题！
0000000000000,カメラマン,今日のために色々考えてきてくれた？\nありがとね～！,你为了今天想了很多吧？\n谢谢你～
3021005020380,透,ふふっ\nえー,呵呵\n诶——
0000000000000,カメラマン,円香クンとのツーショットでも\n同じカンジで………,和圆香的二人照\n也要表现一样的感觉……
0000000000000,ヘアメイク,……ちょっと左を向いてもらえる？　そうそう……,……能稍微朝左一点吗？ 没错……
0000000000000,カメラマン,それからね──,
0000000000000,ヘアメイク,──ん、オッケーかな\n鏡見てもらって、気になるところある？,——嗯，OK了吧\n照下镜子，看有哪里怪怪的？
3021005020390,円香,……いえ、とっても素敵です\nありがとうございます,……不会，非常好\n非常感谢
0000000000000,ヘアメイク,よかった！　じゃあ、\nすぐに再開するからね,太好了！ 那，\n马上就开始摄影了
0000000000000,カメラマン,じゃ、円香クンも打ち合わせのカンジで！\nふたりともよろしく～～～,那圆香就和刚说好的一样！\n拜托你俩了～～～
3021005020391,透＆円香,はーい,好的
0000000000000,カメラマン,いやほんと、透クンと円香クンが並ぶと絵になるなあ～\n期待してるよ～,不过透和圆香粘在一起真的会变一幅画啊～\n真令人期待～
0000000000000,スタッフ１,──みなさーん、再開しますよー,——各位，要重新开始摄影了
0000000000000,透＆円香,……,
3021005020400,円香,色々、考えてきたんだ？,想了很多？
3021005020410,透,え？,诶？
3021005020430,透,あー,啊——
3021005020440,円香,いい、知ってる,算了，我知道
3021005020450,透,うん,嗯
info,produce_events/302100502.json,,
译者,告,,
