id,name,text,trans
0000000000000,プロデューサー,恋鐘、これよかったら受け取ってくれ,恋钟，可以的话请收下这个吧
4901900080010,恋鐘,ふぇ……\nありがとう～、プロデューサー！　開けてもよか～？,呜唉……\n谢谢啦〜，Producer！ 现在打开也可以的嘛〜？
0000000000000,プロデューサー,もちろん！\n気に入ってもらえたらいいんだけど……,当然了！\n你看看要是觉得喜欢的话就最好了……
4901900080020,恋鐘,こいは……マカロン～！　カラフルで可愛かね～,这个是……马卡龙〜！ 色彩缤纷看着真可爱呢〜
0000000000000,プロデューサー,俺もバレンタインの時の恋鐘と同じように\n相手のことを考えて選んでみたんだ,我其实也和恋钟在情人节选礼物的时候一样，想着对方的事情选出了的这个
4901900080030,恋鐘,……プロデューサーはホワイトデーのお菓子に\n意味のあるって知っとる～？,……Producer知道白色情人节的点心\n背后其实有含义的嘛〜？
0000000000000,プロデューサー,えっ！　そうだったのか\nマカロンの意味は……,诶！ 还有这种事啊\n那马卡龙的意义是……
4901900080040,恋鐘,んふふ～\nば～りよか意味ばい～、大丈夫～！,诶嘿嘿〜\n是相〜当好的意义的啦〜，没关系〜！
4901900080050,恋鐘,偶然でも嬉しか～……うちにとってもプロデューサーは\n『特別な人』やけん……,碰巧也很令人开心的〜……对咱来说Producer也一样是\n『特别的人』了啦……
info,special_communications/490190008.json,,
译者,,,
