id,name,text,trans
0000000000000,プロデューサー,灯織、決まったか？,灯织，决定好了吗？
2002015030010,灯織,はい、スコーンとロイヤルミルクティーにします,嗯，就要司康和皇家奶茶
2002015030020,灯織,プロデューサーはどうですか？,制作人呢？
0000000000000,プロデューサー,ちょっと悩んでるんだよなぁ,有点犹豫
0000000000000,プロデューサー,コーヒーは頼むとして……\n何を合わせようかなって,就算要点咖啡……\n配什么好呢
2002015030030,灯織,…………,
0000000000000,プロデューサー,どうかしたか？,怎么了？
2002015030040,灯織,いえ……,没……
2002015030050,灯織,プロデューサーは今日もコーヒーなのだな、と,想着制作人今天也是咖啡呢
0000000000000,プロデューサー,そうだな、やっぱりいつものにしがちというか……,是呢，该说是容易点平时喝的……
0000000000000,プロデューサー,安牌についつい,下意识就选了安全选项
2002015030060,灯織,……たまには、なのですが,……偶尔也
0000000000000,プロデューサー,うん？,嗯？
2002015030070,灯織,コーヒーとは違うものにするのはどうですか？,试试咖啡以外的怎么样？
2002015030080,灯織,カフェインが強いですし、せめて紅茶にするとか……,咖啡因太强烈了，至少换成红茶之类……
2002015030090,灯織,とはいえ、紅茶もそれなりに強いですが……,虽这么说，红茶也差不太多就是了……
0000000000000,プロデューサー,……,
0000000000000,プロデューサー,（…………灯織が人が決めたものに意見するって\nなんか珍しい気がするんだけど）,（…………灯织对别人决定的事提意见\n感觉好少见）
0000000000000,プロデューサー,（気のせい……では…………ないよな？）,（错觉…………应该……不是吧？）
0000000000000,プロデューサー,……なるほど,……原来如此
0000000000000,プロデューサー,たしかに、もう夜だしさ\n今からコーヒーで眠気を覚まさなくてもいいよな,确实，都晚上了\n也不用现在喝咖啡来提神
2002015030100,灯織,……はい,……是的
2002015030110,灯織,……と思ったのですが、\nさすがにそこまでは口を出しすぎですよね──,……虽然这么想，\n再怎么说也有点管过头了对吧——
0000000000000,プロデューサー,いやいや！\n本当にその通りだからさ、灯織が気に病むことじゃないよ,没有没有！\n真的就像你说的那样，灯织不用介意的
0000000000000,プロデューサー,ありがとうな,谢谢
2002015030120,灯織,…………はい,…………嗯
0000000000000,プロデューサー,ただ、ちょっと気にはなったかなぁ──,只是，稍微有点在意
0000000000000,プロデューサー,灯織ストップ！,灯织停下！
2002015030130,灯織,……！,
2002015030140,灯織,そんな、ドクターストップみたいに……,怎么跟医生叫停一样……
0000000000000,プロデューサー,俺の健康を気にしてくれる灯織が止めてくれるんだから\n似たようなものじゃないか？,因为灯织在乎我的健康而阻止了我\n不是差不多的吗？
2002015030150,灯織,…………,
2002015030160,灯織,……でしゃばりすぎている、というのは自覚しました,……自己太多管闲事，这点有自觉到了
0000000000000,プロデューサー,いやいや、すごく助かってるよ！\n今日だけなんでだろうとは思ったけど,没有没有，帮大忙了！\n虽然想着今天是怎么了
0000000000000,プロデューサー,事務所でなら、夜飲んでても言わないよな……？,在事务所的话，晚上喝咖啡也没被说过吧……？
2002015030170,灯織,…………そうですね,…………是的呢
2002015030180,灯織,事務所にいる時と違って、\n軽く打ち合わせするだけ……なので……,和在事务所时不同，\n现在只是……小小的商谈而已……
0000000000000,プロデューサー,あぁ……なるほどなぁ,啊啊……原来是这样
2002015030190,灯織,あと……────,还有……————
0000000000000,プロデューサー,うん？,嗯？
2002015030200,灯織,──…………ぁ、いえ,——…………啊，没事
2002015030210,灯織,…………すみません\nこれは私が勝手に思っている話で……,…………对不起\n这是我擅自的想到的话……
0000000000000,プロデューサー,そうなのか？,是这样吗？
0000000000000,プロデューサー,灯織の話ならなんだって聞かせてほしいけど,灯织的话无论什么都希望能说给我听
2002015030220,灯織,…………ええと、その,…………嗯嗯，那个
2002015030230,灯織,………………今日は、頑張って起きておく必要がない、ので,………………因为，没有要努力保持清醒的必要，今天
2002015030240,灯織,…………,
2002015030250,灯織,すみません、本当に関係ないですよね……！,对不起，真的什么关系都没有……！
0000000000000,プロデューサー,そんなことないぞ,没那种事噢
select,,今日は紅茶にするよ,今天就喝红茶吧
select,,灯織が選んでくれないか,灯织能帮我选吗
select,,ロイヤルミルクティーで,皇家奶茶吧
0000000000000,プロデューサー,ミルクとか入れたほうがもっといいかな\n灯織はどう思う？,加点牛奶进去会更好吗\n灯织怎么想？
2002015030260,灯織,……！,
2002015030270,灯織,そう、ですね……！,是、呢……！
2002015030280,灯織,ストレートやレモンよりは\nミルクがいいのではないかと……！,比起直接喝或者加柠檬\n我想牛奶会好一些……！
2002015030290,灯織,え……？,诶……？
0000000000000,プロデューサー,今日俺が飲むもの、灯織に選んでほしい,今天我的饮品，想让灯织来选
0000000000000,プロデューサー,な？,好吗？
2002015030300,灯織,はい…………！,好的…………！
2002015030310,灯織,…………！,
0000000000000,プロデューサー,灯織と一緒に\nまったりしながら打ち合わせしようと思って,想和灯织一起\n悠闲着慢慢商量
0000000000000,プロデューサー,こんな日もありだよな,也有这种时候吧
2002015030320,灯織,……はい\nありがとうございます……！,……是的\n谢谢……！
info,produce_events/200201503.json,,
译者,魚見,,
