id,name,text,trans
2002012010010,灯織,……あ、プロデューサー,……啊，制作人
2002012010020,灯織,もう少し行ったところで下ろしてください,再过一会儿请让我下车
0000000000000,プロデューサー,……ん？\n家まだ先だけど……,……嗯？\n还没到家啊……
2002012010030,灯織,寄りたいところがあって,有个想去的地方
0000000000000,プロデューサー,買い物か？,买东西？
2002012010040,灯織,はい、ちょっと必要なものが,嗯，得买些东西
2002012010050,灯織,……あ、ちゃんとすぐ帰るので、\n心配しないでくださいね？,……啊，买完东西我会马上回去的，\n别担心
0000000000000,プロデューサー,いや……灯織が夜遊び歩くとは思ってないけど,没有……虽然我不觉得灯织晚上会在外面游荡
0000000000000,プロデューサー,すぐ終わる用事ならパーキングとかで待ってるから\nそのまま家まで送るよ,用不了多久的话我会在停车场等你的\n然后再送你回家
2002012010060,灯織,ええ……？\n私用なのにそこまでしていただくのは……,诶……？\n只是私事而已不用这么麻烦你……
0000000000000,プロデューサー,……もしかして俺がいない方がいいものだったか\n気が回らなくてすまん,……难道我不在会比较好吗\n对不起，是我不够心细
2002012010070,灯織,いえ！,不是的！
2002012010080,灯織,お米が欲しいだけなので……！,我只是想去买米……！
0000000000000,プロデューサー,米？\nだったら、なおさら車の方が都合よくないか？,米？\n那不是更应该用车来载吗？
2002012010090,灯織,えっと────,啊────
2002012010100,灯織,そうですね……,是呢……
2002012010110,灯織,でも……さっきも言いましたが、\n本当に私用なので……！,但是……我刚才也说过，\n真的只是私事……！
2002012010120,灯織,プロデューサーと社用車を\n足扱いするわけには……！,怎么能让制作人开事务所的车送我……！
0000000000000,プロデューサー,いいからいいから\nこの辺りってことは、あの大きなスーパーだろ？,没事没事\n在这附近啊，是那家大超市对吧？
0000000000000,プロデューサー,このまま向かうな！,就这么开车过去了哦！
2002012010130,灯織,もう……！,真是的……！
0000000000000,プロデューサー,他に買っておきたいものってないのか？\n車なんだし、洗剤みたいな重いものとかさ,还有什么想买的吗？\n有车在，像是洗衣液之类比较重的也没问题
2002012010140,灯織,プロデューサー……,制作人……
0000000000000,プロデューサー,ん？,嗯？
2002012010150,灯織,ちょっと私に都合のいい展開過ぎませんか,这不会太方便我了吗
2002012010160,灯織,そんなこと言うと、お米10キロにしちゃいますよ,你这么说的话，我要买10公斤大米哦
0000000000000,プロデューサー,ははっ、いいよ！　どんとこい,哈哈，可以啊！尽管买
select,,お互い様ってやつだから,互相帮助嘛
select,,ほら、早くしないと──,好了，快点吧──
select,,俺がやりたいだけ\nだからな,只是因为\n我想这么做而已
2002012010170,灯織,……？,
0000000000000,プロデューサー,灯織がさ、よくご飯を作ってくれるから\n俺はそのお返しに荷物持ちをする,灯织经常给我做饭\n作为回报我帮忙搬行李
0000000000000,プロデューサー,今日だったら、夜遅めの時間に\n灯織をひとり帰らせなくて済んで、俺が安心できる,今天不用让灯织晚上自己一个人回去\n我可以放心下来
0000000000000,プロデューサー,その代わり、灯織は車と俺っていう機動力を得る,另一方面，灯织也能坐车回去
2002012010180,灯織,プロデューサー……,制作人……
0000000000000,プロデューサー,俺も灯織もメリットがあるんだから\n遠慮する必要なんてないよ,对我对灯织都有好处\n没必要客气呀
2002012010190,灯織,……いつも言ってますけど,……虽然我一直都在说
2002012010200,灯織,プロデューサーって、本当にずるいですよね,制作人，真的很狡猾呢
0000000000000,プロデューサー,置いていっちゃうぞ\n米売り場はあっちだそうだ,我要走了哦\n好像大米卖场在那边
2002012010210,灯織,あっ！,啊！
2002012010220,灯織,ちょ、プロデューサー……！\n待ってください！,等，制作人……！\n等等我！
2002012010230,灯織,お米以外にも\n他に買っておきたいものがあって……！,除了米\n还有些别的东西想买……！
0000000000000,プロデューサー,ん？　そうなのか\n何買うんだ？,嗯？是吗\n想买什么？
2002012010240,灯織,──戻って来てくれるんだ……,──回来了呢……
2002012010250,灯織,…………,
2002012010260,灯織,ふふ……敵わないな,呵呵……真拿你没办法
2002012010270,灯織,……！,
0000000000000,プロデューサー,だから灯織も気にしなくていい,所以灯织也不必在意
2002012010280,灯織,プロデューサー……,制作人……
2002012010290,灯織,じゃあ……お言葉に甘えます,那……就听你的吧
2002012010300,灯織,重たいものをたくさん買うし、\nプロデューサーを荷物持ちにするので──,我要买很多重东西，\n因为是制作人负责拿──
2002012010310,灯織,覚悟しておいてくださいね,做好心理准备哦
2002012010320,灯織,まずは、お米10キロからです……！,首先，从10公斤大米开始……！
info,produce_events/200201201.json,,
译者,Rosineae,,
