id,name,text,trans
2018016010010,off,あんたが私をいらないなら────,如果你已经不需要我了────
2018016010020,off,どこに生きる意味があんのよ！,活着哪还有什么意义！
0000000000000,ディレクター,カット！,Cut！
0000000000000,スタッフ,撮影、以上となります！\nお疲れ様でしたー！,拍摄，到此结束！\n各位辛苦了ー！
2018016010030,冬優子,お疲れ様でした,大家辛苦了
2018016010040,冬優子,…………,
0000000000000,マネージャー,お疲れ様です,辛苦了
2018016010050,冬優子,あ、お疲れ様です,啊，您辛苦了
0000000000000,マネージャー,さっき捕まってたでしょ\nまた何かお願いされたの？,刚才是不是被追问了\n又被拜托了什么事情？
2018016010060,冬優子,ふふっ\nありがたいです,呵呵\n谢谢您的关心
0000000000000,マネージャー,冬優子さんのこと、お気に入りだもんね\n胡散臭いのが玉に瑕だけど、あのディレクター,虽然挺中意冬优子的\n美中不足的是，那个导演……
2018016010070,冬優子,怒られますよ,会被骂的哦
0000000000000,マネージャー,まぁ、今の時代に黛冬優子を使わないなんて\n選択肢としてありえないけど,嘛，现在这个世道居然不选黛冬优子\n怎么可能会有这种选择
0000000000000,マネージャー,今やアイドル業界の顔なんだから,现今已然是偶像业界的翘楚了
2018016010080,冬優子,…………,
0000000000000,マネージャー,あ、信じてないなー？,啊，不相信吗？
0000000000000,マネージャー,みんな言ってるよ\n冬優子さん、うちに移籍して良かったって,大家都在说哦\n“冬优子小姐能转到我们所里真是太好了”
0000000000000,冬優子,………………,
0000000000000,マネージャー,そうそう、週末どうするの？,对了对了，周末有什么打算吗？
2018016010100,冬優子,週末……？,周末……？
0000000000000,マネージャー,えー、久々のオフじゃない\nご予定は？,是呀，久违的假期嘛\n有其他安排吗？
2018016010110,冬優子,あー……\n考えてなかったかも,啊……\n没怎么去考虑呢
0000000000000,マネージャー,どうせ、次の仕事の準備とか言って\n勉強でもしようとしてたんじゃない？,反正是说着为下次工作做准备\n然后去练习吧？
2018016010120,冬優子,……\nできることはやっておきたくて,……\n只是在尽力而为
0000000000000,マネージャー,止めないけどさ、休める時に休んでおかないと\nもう少しセーブしたっていいくらいだよ,我是不会拦你，不过该休息还是得休息\n稍微省些力气也是可以的
2018016010130,冬優子,そうですね……,说得是啊……
0000000000000,マネージャー,ゆっくりしてきたらいいのに\n紅茶でも飲んでさ,明明慢慢发展就足够了\n像是一边品着红茶这样
2018016010140,冬優子,…………,
2018016010150,冬優子,…………,
2018016010160,冬優子,空…………広……,天空…………好广阔……
0000000000000,店員,お待たせいたしました\nアールグレイでございます,让您久等了\n这是您点的格雷伯爵茶
2018016010170,冬優子,ありがとうございます,非常感谢
0000000000000,店員,────と\nこちら、サービスです,────还有\n这边是，附赠的
2018016010180,冬優子,？,
0000000000000,店員,……陰ながら応援しております,……我会默默支持你的
2018016010190,冬優子,ふふっ\nいつもありがとうございます,呼呼\n谢谢你一直以来的支持
0000000000000,店員,……失礼いたしました,……告辞了
2018016010200,冬優子,……,
0000000000000,プロデューサー,……\nここで作業していくか,……\n就在这开始找吧
0000000000000,プロデューサー,お客さん\nひとりだけか,只有\n一位顾客吗
0000000000000,プロデューサー,…………あれ,…………奇怪
0000000000000,プロデューサー,……いや、他を当たろう,……算了，还是找别人吧
0000000000000,off,お疲れ様\n……冬優子,辛苦了\n……冬优子
2018016010210,冬優子,──────,
2018016010220,冬優子,…………,
2018016010230,冬優子,……,
2018016010240,冬優子,……確かに\n働きすぎかも,……工作\n可能确实努力过头了
2018016010250,冬優子,ね,呐
2018016010260,冬優子,ねぇって,叫你呢
2018016010270,冬優子,これで合ってたのよね,这样就是对的吧
2018016010280,冬優子,ふゆ,冬优
2018016010290,冬優子,…………ケチ,…………真小气
2018016010300,冬優子,…………,
2018016010310,冬優子,………………,
info,produce_events/201801601.json,,
译者,,,
