id,name,text,trans
0000000000000,スタッフ,これで、本日分の撮影は終了でーす！,这样一来今天的拍摄就结束了！
2002005030010,灯織,ありがとうございました！,非常感谢！
0000000000000,プロデューサー,灯織、お疲れ様！,灯织，辛苦了！
2002005030020,灯織,お疲れ様です\nあの、どうでしたか？,辛苦了，那个，拍得怎么样？
0000000000000,プロデューサー,全体的に良くできていたよ,整体来说挺好的
2002005030030,灯織,……なら、良かったです,……那就好
0000000000000,プロデューサー,少し休んだら、途中まで送っていくよ,稍微休息一会儿吧，我等下会送你一段路的
2002005030040,灯織,いえ、大丈夫です、すぐに出れます,不用，没关系的，马上就能出发
0000000000000,プロデューサー,無理はしなくて良いんだぞ,不用勉强自己
2002005030050,灯織,……あの、プロデューサー,……那个，制作人
2002005030060,灯織,移動中に気になった場所がいくつかあって……\nなので、ちょっと見てみたいんです,刚在路上有几个地方我有些感兴趣……\n所以，想稍微去看看
2002005030070,灯織,……少しだけ……大丈夫ですか？,可以吗？
0000000000000,プロデューサー,あぁ、好きな場所を言ってくれ,嗯，喜欢什么地方尽管说
2002005030080,灯織,！　ありがとうございます,！谢谢
2002005030090,灯織,あ、あの辺り、今日の撮影で行ったところですね,啊，那里是今天拍摄的地方对吧
0000000000000,プロデューサー,おぉ、別の場所から眺めるとまた違うな\nなかなか良い景色だ,嗯，从别处看的话又是另一种感觉呢\n风景不错
2002005030100,灯織,あっちの方も綺麗ですよ、プロデューサー,那边也很漂亮哟，制作人
2002005030110,灯織,ふふ、なんだか見ていて飽きないですね……,呵呵，总觉得看不腻呢……
0000000000000,プロデューサー,そうだな！　ところで……ここまで結構歩いたけど\n平気か？　収録でもたくさん移動したし,是啊！话说……走了这么远没事吗？\n拍摄的时候也走了很多路来着
2002005030120,灯織,はい、平気です,嗯，没事的
2002005030130,灯織,これもレッスンの成果なんでしょうか,这也是训练的成果吧
select,,もちろん\nそれもあるが……,当然了\n虽然也有这个原因……
select,,灯織は\n頑張ってるからな,是因为灯织努力了呢
select,,俺も疲れて\nいられないな,我也不能说累了呢
0000000000000,,★選択肢①【もちろん\nそれもあるが……】,
0000000000000,プロデューサー,もちろん、それもあるが……,
0000000000000,プロデューサー,今日のロケを灯織が心から楽しんでたからじゃないかな,可能也是因为\n灯织从心底里享受着今天的拍摄吧
2002005030140,灯織,そう、見えてましたか……！,看起来是这样吗……！
2002005030150,灯織,先日、楽しむのは良いことだと\n教えてもらったので,因为之前制作人跟我说过，这样会比较好
2002005030160,灯織,楽しいと思う気持ちを大切にしてみたんです,我想要好好珍惜这份心情
0000000000000,プロデューサー,しっかり伝わってきたぞ,好好地传达到了哦
0000000000000,プロデューサー,……実はな、灯織,……其实啊，灯织
0000000000000,プロデューサー,さっきディレクターさんから\n次も是非オファーしたいって言われたんだ,刚刚导演说了，还想再次合作呢
2002005030170,灯織,……本当ですか！,……真的吗！
0000000000000,プロデューサー,あぁ、知的な印象の灯織の\n時折見せる無邪気な笑顔がすごく良いって,嗯，他说，给人理性印象的灯织偶尔露出的\n那天真无邪的笑容非常棒
0000000000000,プロデューサー,番組のコンセプトにマッチしてるって\n絶賛してたんだ,和节目的理念非常相符，赞不绝口呢
2002005030180,灯織,そうなんですか……？,是吗……？
0000000000000,プロデューサー,ああ,嗯
2002005030190,灯織,ふふ、自分の楽しいって気持ちが人に伝わるのって\n嬉しいですね,呵呵，自己的这份喜悦能传达给别人，真开心呀
2002005030200,灯織,プロデューサー、素敵なアドバイスをありがとうございます\nこの気持ち、これからも大切にしていきますね,制作人，谢谢你给了我这么好的建议\n今后我也会好好珍惜这份心情的
0000000000000,,★選択肢②【灯織は\n頑張ってるからな】,
0000000000000,プロデューサー,灯織は頑張ってるからな,
0000000000000,プロデューサー,その努力がしっかりと結果に結びついているんだろう,所以才会有这种结果吧
2002005030210,灯織,ありがとうございます,谢谢
2002005030220,灯織,……,
0000000000000,プロデューサー,ん？　どうした？,嗯？怎么了？
2002005030230,灯織,いえ、自分のことをよく見ている人に褒めてもらえると\nなんだか心が温かくなるなって……,没有，得到了好好关注着自己的人的表扬\n总觉得心里很温暖……
0000000000000,プロデューサー,……はは、そうだな,……哈哈，是呢
2002005030240,灯織,どうしたんですか？　……私、何か変なことを言いましたか,怎么了？……我说了什么奇怪的话吗
0000000000000,プロデューサー,ああ、いや、灯織と会った頃のことを思い出してな,没有，我想起了和灯织初次见面那时候的事
0000000000000,プロデューサー,きっとあの頃の灯織なら\n安易に褒めないでくださいって怒ると思ったんだ,如果是那个时候的灯织的话\n我想一定会生气地叫我不要轻易夸奖的
2002005030250,灯織,あ、えっと……あの頃の私は、何というか……その……,啊……那时候的我，怎么说呢……那个……
2002005030260,灯織,思い出したら恥ずかしくなってきました……,一想起来就觉得不好意思……
0000000000000,プロデューサー,ああ、すまん！　\nそんなつもりで言ったわけじゃなかったんだ,啊，抱歉！我不是故意的
2002005030270,灯織,大丈夫ですよ、わかってますから,没事啦，我知道的
2002005030280,灯織,そういう話をしてくれるのも、信頼の証だってこと,会说这种话，也是信任的证明呢
0000000000000,,★選択肢③【俺も疲れて\nいられないな】,
0000000000000,プロデューサー,俺も疲れていられないな,
0000000000000,プロデューサー,灯織、行きたいところがあったらどんどん言ってくれ！,灯织，想去哪里尽管说吧！
2002005030290,灯織,じゃあ、さっき見えたところ、良いですか？\nちょっと遠そうですが,那就去刚看到的那里吧，好像有点远，可以吗？
0000000000000,プロデューサー,よし、そこに行こう,好，就去那里吧
2002005030300,灯織,ふふ、プロデューサーも楽しそうですね,呵呵，制作人看起来也挺开心呢
0000000000000,プロデューサー,灯織の生き生きしている姿を見てるから\nその気分が俺にも伝わってるんだよ,看到灯织这么有活力的样子\n我也被这种氛围感染了啊
0000000000000,プロデューサー,やっぱり灯織の笑顔には\n人を楽しい気持ちにさせる力があるって、実感するな,果然灯织的笑容能给大家带来快乐\n我确实感受到了
2002005030310,灯織,そ、そんなこと……,这、这种事……
2002005030320,灯織,……早く行きますよ、プロデューサー,……快点走吧，制作人
info,produce_events/200200503.json,,
译者,Rosineae,,
