id,name,text,trans
0000000000000,プロデューサー,！,！
1019004050010,愛依,『お疲れ様～\nプロデューサー！』,“你辛苦了～\n制作人！”
0000000000000,プロデューサー,おう、愛依、お疲れ様\nどうしたんだ？,哦，爱依，你也一样\n怎么了吗？
1019004050020,愛依,『今日ってさ～\n空いてる時間ある～？』,“你今天～\n有空吗～？”
0000000000000,プロデューサー,そうだな……\nちょっと待ってくれるか,这样啊……\n你稍等
0000000000000,プロデューサー,夕方なら大丈夫だ,旁晚之后有空
1019004050030,愛依,『……』,“……”
1019004050040,愛依,『じゃあさ、ちょっと\n付き合ってくんない？』,“那么，你能不能\n陪咱一下？”
1019004050050,愛依,『……伝えたいこと\n……あるんだよね』,“……咱有话……\n想对你说”
1019004050060,愛依,お、来てくれてサンキュ！\nごめん！　疲れてたっしょ？,哦，谢谢你抽空过来！\n抱歉！　你今天已经很累了吧？
0000000000000,プロデューサー,今日は余裕があったから\n大丈夫だぞ,今天没那么忙\n还好啦
0000000000000,プロデューサー,それに、担当しているアイドルから\nあんなこと言われたらな,更何况，自己担当的偶像\n都说到那个份上了
0000000000000,プロデューサー,仮にすごく疲れてても、絶対に行くよ,就算再累，也绝对会来的
1019004050070,愛依,アハハ……,啊哈哈……
1019004050080,愛依,じゃあさ、準備するから\nちょっと待っててくれない？,那么，咱先去准备\n你能稍等一会儿吗？
0000000000000,プロデューサー,俺も手伝うよ,我也来帮忙
1019004050090,愛依,うち\nやるから大丈夫！,放咱来就行\n没问题的！
1019004050100,愛依,……うちにとってさ\nこの場所って、大事なんだよね,……对咱来说\n这里，是很重要的地方
0000000000000,プロデューサー,たくさんレッスンしてきたところだもんな,毕竟是进行过无数次练习的地方呢
1019004050110,愛依,もちろん、それもそうなんだけどさ,当然，这也是其中一个原因
0000000000000,プロデューサー,？,？
0000000000000,プロデューサー,……愛依は『ミステリアス』って言葉\nどんなイメージだ？,……爱依对“神秘感”这个词\n是怎么看的呢？
1019004050120,愛依,ミ、ミステリアス……？\nえっと、ミステリーな人……？,神、神秘感……？\n就，神秘的人……？
1019004050130,愛依,ミステリーって……確か謎？　みたいな意味……？\nあ、謎っぽい人！,“神秘”……似乎是“谜”的意思吧……？\n啊，充满谜团的人！
1019004050140,愛依,ここって\nうちとプロデューサーの始まりの場所じゃん,这里\n是咱和制作人的起点
0000000000000,プロデューサー,……ああ,……嗯
0000000000000,プロデューサー,そうだな,是啊
0000000000000,プロデューサー,ちょうどこんなふうにライトをつけて\n愛依にＭＣしてもらったな,以前还有过像这样打上灯光\n让爱依练习MC的事呢
1019004050150,愛依,そうそう\nアイドル和泉愛依が生まれるきっかけになった場所,没错\n是作为偶像的和泉爱依诞生的地方
1019004050160,愛依,だから、ここで伝えたかったんだよね,所以，我想在这里表达
1019004050170,愛依,……,……
0000000000000,プロデューサー,……,……
1019004050180,愛依,うちさ……,咱啊……
1019004050190,愛依,ステージからみんなの笑顔が\nちゃんと見られた時,咱从台上看见\n大家的笑容的时候
1019004050200,愛依,ちょー嬉しかった,真的超高兴的
1019004050210,愛依,……,……
1019004050220,愛依,みんながうちを\nちゃんと見てくれてるって知った時,当咱知道\n大家都那么仔细地看着咱的时候
1019004050230,愛依,ちょー嬉しかった……！,真的超高兴的……！
1019004050240,愛依,だから、うちは……,所以，咱……
1019004050250,愛依,あたしは……,我……
1019004050260,愛依,ファンのみんなを笑顔にする,要让粉丝们绽放笑容
1019004050270,愛依,これが、うちの信念……,这就是，咱的信念……
1019004050280,愛依,アイドル、和泉愛依の信念……！,是偶像，和泉爱依的信念……！
0000000000000,プロデューサー,……\nちゃんと見つけられたな,……\n找到了呢
1019004050290,愛依,……うん……見つけた,……嗯……找到了
0000000000000,プロデューサー,まっすぐで、\n愛依らしいと思うよ,很直率，\n很有爱依的风格
1019004050300,愛依,……ん,……嗯
select,,絶対に\n貫き通そう,绝对\n要贯彻到底
select,,俺は贅沢者だな,我很幸运呢
select,,またひとつ\n成長したな,又进一步\n成长了呢
0000000000000,プロデューサー,愛依\nいつまでもこの気持ちを忘れずにいこうな！,爱依\n无论何时都不要忘记这份心情！
1019004050310,愛依,もちろん！\n約束するっ！,当然！\n约好了！
1019004050320,愛依,？　なんで～？,？　为什么呢～？
0000000000000,プロデューサー,愛依の決意表明を\nひとり占めしちゃったファンだからさ,我成了\n独占爱依表明决心演说现场的粉丝了
1019004050330,愛依,アハハ、それは大げさっしょ,啊哈哈，你太夸张了吧
0000000000000,プロデューサー,愛依がどこまで\n立派なアイドルになるのか、さらに楽しみになったよ,让我更期待\n爱依今后会成为何等出色的偶像了
0000000000000,プロデューサー,プロデューサーとしても\nファンとしても,无论是作为制作人\n还是粉丝
1019004050340,愛依,サンキュ！\n期待してて！,谢啦！\n你就尽管期待吧！
1019004050350,愛依,さて、それじゃ早速……,那么，事不宜迟……
0000000000000,プロデューサー,？,？
1019004050360,愛依,プロデューサー\nうちの歌、聞いて,制作人\n请欣赏，咱的歌
1019004050370,愛依,まずは大切な\nファン１号に,首先要让重要的\n1号粉丝
1019004050380,愛依,笑顔になってもらいたいから！,绽放笑容！
info,produce_events/101900405.json,,
译者,StYl3,,
