id,name,text,trans
0000000000000,プロデューサー,結華？\n難しい顔して……何書いてるんだ？,结华？\n一脸纠结的表情……这是在写什么？
1007001000310010,結華,これ？　レッスン以外に何かやろっかなって思ってさー,这个？　在考虑除开练习还要做什么好
1007001000310020,結華,アイドルらしい努力ってどういうのかわかんなかったから\nリストアップしてみたの,虽然不知道会不会是有偶像风范的努力，\n总之先列出来
0000000000000,プロデューサー,（体力づくりに、ファッション研究\n……大食いまで。多様性はあるけど……）,（不止是体力，更有对时尚的研究\n……还有大胃王挑战啊。虽然种类很多……）
select,,少し的を絞るか,稍微缩小一下范围吧
select,,俺も一緒に考えよう,我也一起来考虑吧
select,,他のメンバーにも\n相談してみたら？,试试和其他成员讨论一下？
1007001000310030,結華,やっぱり、インテリアイドルと大食いアイドルの\nちゃんぽんはやりすぎかな？,果然头脑派偶像和大胃王偶像混在一起还是有点做过头了吧？
1007001000310040,結華,でも、なんでもござれのハイブリッドアイドルって\nなんかかっこよくない？,不过什么都行的混合型偶像不觉得很帅气吗？
0000000000000,プロデューサー,（よし、楽しく話せたな）,（很好，聊得很开心）
1007001000310050,結華,ほんと？　それは嬉しいな\n三峰ひとりじゃ煮詰まっちゃって,真的吗？　太高兴了\n三峰一个人的话就容易陷入死胡同
1007001000310060,結華,よーし、じゃあ一緒に渾身のアイディア考えよう！,好～，那么一起全力思考吧！
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,（嗯，感觉一般般）
1007001000310070,結華,やだなぁ、\nこういうのみんなに見せるの恥ずかしいじゃん？,不要啊，\n这个给大家看到了会觉得很害羞的吧？
1007001000310080,結華,そういうとこ察してくれないとダメだぞーＰたん,不体谅这种地方可不行啊P炭
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,（唔……糟糕。要是聊点别的话就好了……）
info,produce_communications/100700100031.json,,
译者,探微,,
