id,name,text,trans
0000000000000,プロデューサー,最終確認をしよう\n今日の出番は、ラジオの中のコーナーで,最后再确认一次\n今天是要在广播中的环节出场
1007001020010,結華,アンティーカの宣伝、バッチリ決めてくるんでしょ？\n任せて任せて,L'Antica的宣传，已经全部决定好了吧？\n交给我就行了
1007001020020,結華,……それにしてもさぁ、こんな風にラジオに出れちゃうとか\nなんかほんとにアイドルみたいだよねー,……话说回来啊，像这样在广播里出场\n感觉就像是真正的偶像呢—
0000000000000,プロデューサー,今さら何を言ってるんだ\nみたい、じゃなくてアイドルだろう,事到如今还说什么啊\n不是像，就是偶像吧
1007001020030,結華,いやいや、三峰まだドッキリ説捨ててないから\nいつネタばらしされてもいいように心の準備もしてるから,不不不，三峰还没有完全抛开整人的可能性\n心里已经做好了不管什么时候发生也没问题的准备了
0000000000000,プロデューサー,本当にドッキリだったら俺が１番ビックリするなぁ\nスカウトした理由もなくなるし,如果真是的整人节目的话我才应该是最震惊的吧\n劝诱的理由也没有了
0000000000000,プロデューサー,……今日はひとりでの仕事だけど、いけそうか？,……今天是一个人进行工作，能行吗？
1007001020040,結華,いつもみんなと一緒だからって心配しすぎだよ、\nプロデューサー,因为一直和大家在一起什么的，担心过头了啦\n制作人
1007001020050,結華,それじゃ三峰がひとりだとダメな子みたいじゃ……\nって、バレてたか～！,还是说三峰看起来像是一个人做不到的样子呢……\n什么的，完全看穿啦～！
0000000000000,プロデューサー,その調子なら、緊張もしてなさそうだな\n本番もそのまま──,这个状态的话，看起来完全不紧张呢\n正式表演的时候就按这样——
1007001020060,結華,それよりプロデューサー聞いて聞いて！\nさっき廊下に三峰が追ってるアイドルがいたんだよ！,比起这个制作人听我说听我说！\n刚刚在走廊里看到了三峰正在追的偶像！
1007001020070,結華,すごいなぁ……！　スタジオ隣だったりしないかなぁ……！\n何かのラッキーで挨拶できちゃったりとか……！,真厉害啊……！　工作室会不会就在旁边啊……！\n有没有可能好运的打个招呼什么的啊……！
0000000000000,プロデューサー,……ぶれないな……,……很激动啊……
0000000000000,プロデューサー,（……落ち着いていて良かったと思ったけど、\nまだお客さん意識の方が強いのかもしれない……）,（……虽然冷静下来可能会比较好，\n可能是因为身为观众意识还比较强烈……）
0000000000000,プロデューサー,もうすぐ自分の仕事が控えてるんだ\nそろそろ集中しよう,马上就要到自己的工作了\n差不多该集中注意力了
1007001020080,結華,あれー？　乗ってくれない……ほんとに心配性だなぁ,啊咧？　没有忘乎所以……真是喜欢担心人啊
1007001020090,結華,おっけおっけ、わかってますよ。切り替え大事！\n……はい、今お仕事モード入りました！,ok ok，我明白了。切换是很重要的！\n……好的，现在就进入工作模式！
0000000000000,プロデューサー,……本当にわかってるんだよな？\n新人ではあるけど、結華はもうれっきとした──,……真的明白了吗？\n虽然还是新人，但结华也要注意体面了——
0000000000000,番組スタッフ,三峰結華さん。そろそろ、スタンバイお願いしまーす,三峰结华桑。差不多到您待机的时间了
1007001020100,結華,あらら、三峰呼ばれてる\nありがたいお説教聞けなくて残念だなぁ……,啊啦啦，在喊三峰了\n很遗憾不能听到您难得的说教了……
1007001020110,結華,先行くね、Ｐたん！,先过去了哦，P炭！
0000000000000,プロデューサー,あっ、おい……,啊，喂……
0000000000000,プロデューサー,大丈夫か……？\n──って、俺もスタジオ行かないと,没问题吧……？\n——啊，我也该去工作室了
1007001020120,結華,ふう、終わった終わった。プロデューサーもお疲れー,呼，结束了结束了。制作人也辛苦了
1007001020130,結華,三峰の初ラジオ、どうだった？,三峰第一次的广播，怎么样？
select,,楽しそうな\nラジオだったよ,是很欢乐的广播啊
select,,安心して聞けたよ,安心的听了
select,,抱腹絶倒した,让人捧腹大笑
