id,name,text,trans
1003001000310010,めぐる,どうしよう、もうすぐテストだなぁ……,怎么办啊，马上就要考试了……
0000000000000,プロデューサー,ずいぶん深刻そうだな,看起来问题很严重啊
1003001000310020,めぐる,うーん……やっぱり勉強って苦手だよー\nプロデューサー、何かコツとかないかな？,嗯……果然我还是不擅长学习啊\n制作人，有什么诀窍吗？
0000000000000,プロデューサー,（勉強のコツか、そうだなぁ……）,（学习的窍门吗，对了……）
select,,勉強会を開いたら？,开个学习会怎么样？
select,,努力あるのみ,只能努力了
select,,一夜漬けだ！,临时抱佛脚！
1003001000310030,めぐる,わぁ！　みんなで勉強したら楽しそうだね！\nわからないところは教えてもらえるし！,啊！和大家一起学习的话会很有趣呢！\n不懂的地方也能请教别人！
1003001000310040,めぐる,早くやりたくなってきちゃった！\n後でみんなを誘ってみよーっと！,好想快点开始行动啊！之后就试着邀请大家吧！
0000000000000,プロデューサー,（よし、楽しく話せたな）,
1003001000310050,めぐる,やっぱり、真面目に努力するのが一番だよね……\n普段からもっと勉強するようにしてみるよ！,果然，只有认真努力才是最好的吗……\n从平时开始试着更加努力学习吧！
1003001000310060,めぐる,たまにでいいから、\nプロデューサーが勉強を教えてくれると嬉しいな！,只有偶尔也可以，\n如果制作人能教我学习的话我会很开心的！
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,
1003001000310070,めぐる,でもわたし、夜はあんまり起きてられないから\n集中できないかも,但是我，没怎么熬过夜\n也许没法集中注意力
1003001000310080,めぐる,……夜更かしのことを考えてたら、なんだか\n眠くなってきちゃった……。ふわぁ……,……一想到熬夜的事情，不是怎的\n就开始困了……。呼啊……
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,
info,produce_communications/100300100031.json,,
译者,FR,,
