id,name,text,trans
0000000000000,プロデューサー,（霧子が真剣な顔で雑誌を読んでいる……\n面白い記事でもあったのだろうか？）,（雾子一脸认真地看着杂志……\n上面有什么有趣的内容吗？）
1008001000510010,霧子,あ、今日の星座占い……,啊、今天的星座占卜……
1008001000510020,霧子,……！\nど、どうしよう……,……！\n怎、怎么办……！
0000000000000,プロデューサー,(きっと悪い結果だったんだな……),（一定是不好的结果吧）
select,,ラッキーアイテムは\n何なんだ？,幸运物品是什么？
select,,悪い結果だとしても\n気にするな,就算结果不好\n也不要在意
select,,霧子は何座なんだ？,雾子是什么星座？
1008001000510030,霧子,え、と……今日のラッキーアイテムは……\n「白のアクセサリー」でした……,那、个……今天的幸运物品是……\n“白色的首饰”……
1008001000510040,霧子,あ……！\nもしかして……包帯のことかも……！,啊……！难不成……是指绷带……！
0000000000000,プロデューサー,（よし、楽しく話せたな）,
1008001000510050,霧子,い、いえ……\n悪い結果というより……,不……\n与其说是结果很差……
1008001000510060,霧子,い、1位だったんですけど……\nどっちにしても……お、落ち着かないです……！,虽然是运势第一……\n但不管是哪个……冷静不下来……！
0000000000000,プロデューサー,（まぁ、普通に話せたかな）,
1008001000510070,霧子,て、てんびん座です……！,是、是天平座……！
1008001000510080,霧子,1位……だったので……\nちゃんと1位らしく頑張れるかなって……不安です……,虽然是第一……但……\n能好好地像第一那样努力吗……很不安
0000000000000,プロデューサー,（うっ……しまった。別のことを言えば良かったな……）,
info,produce_communications/100800100051.json,,
译者,FR,,
