id,name,text,trans
0000000000000,プロデューサー,やったぞ、一次審査を通過した！,太好了，第一次审查通过了！
7021001010010,円香,そうですか,这样啊
0000000000000,プロデューサー,まだ実感がわかないか？\nすごいことなんだぞ……！,还没有什么实感吗？\n这可是非常厉害的事哦……！
7021001010020,円香,……まあ、通るだろうなと思っていましたので,……我也在想应该过了
0000000000000,プロデューサー,もちろん俺も思っていたよ\nでも、こうして結果が出ると……嬉しいなあ……！,我当然也是这么想的\n不过，这样等正式通知出来…更令人高兴了……！
7021001010030,円香,……\nよかったですね,……\n那真是太好了
0000000000000,プロデューサー,ああ！　まだまだ審査は続くけど、\nこのまま頑張っていこう！,嗯！  后面还有很多审查\n要保持劲头加油啊！
7021001010040,円香,あなたがそこまで喜ぶ理由はわかりませんが……,我不是很明白你为什么会高兴成这样……
7021001010050,円香,簡単に通過できるということはわかったので,能简单通过这点倒是懂了
7021001010060,円香,それは確かに嬉しく思います,那确实挺让人高兴的
7021001010070,円香,このまま頑張りますね\n……それなりに,就这样继续加油吧\n……姑且
info,produce_events/702100101.json,,
译者,岛木,,
